PRACTICE_CODE,YEAR,POSTCODE,depression,alzheimers,blood pressure,insomnia,social anxiety,ITEMS,depression_perc,depression_perc_trim,depression_perc_trim_zscore,alzheimers_perc,alzheimers_perc_trim,alzheimers_perc_trim_zscore,blood pressure_perc,blood pressure_perc_trim,blood pressure_perc_trim_zscore,insomnia_perc,insomnia_perc_trim,insomnia_perc_trim_zscore,social anxiety_perc,social anxiety_perc_trim,social anxiety_perc_trim_zscore,loneliness_prac,laua,msoa11,lat,long
-,2018,-,48029,1964,71153,4533,10820,894135,5.37156022300883,5.37156022300883,-0.43317111167730976,0.21965363172227909,0.21965363172227909,0.022084822380574604,7.957746872675826,7.957746872675826,-0.6041789164546023,0.5069704239292724,0.5069704239292724,0.07836521150306959,1.2101080932968735,1.2101080932968735,-0.364715528030311,-1.301615522278579,,,,
01E998,2018,PR266TR,609,21,806,30,60,10714,5.684151577375396,5.684151577375396,-0.2162405054371017,0.19600522680604815,0.19600522680604815,-0.14035850104098752,7.522867276460706,7.522867276460706,-0.8832839787778207,0.2800074668657831,0.2800074668657831,-0.7729031598284833,0.5600149337315662,0.5600149337315662,-1.6152344419657525,-3.6280205870501456,E07000126,E02005298,53.707657,-2.694106
03A998,2018,HD21GZ,1724,74,2265,87,355,26027,6.623890575171937,6.623890575171937,0.4359149289723565,0.2843201290967073,0.2843201290967073,0.46628563781587035,8.70250124870327,8.70250124870327,-0.12619669253392546,0.33426825988396663,0.33426825988396663,-0.5693875839945531,1.3639681868828524,1.3639681868828524,-0.06875032012411249,0.13786597013563578,E08000034,E02002292,53.677039,-1.7675009999999998
04Q998,2018,LN42HN,162,8,342,6,36,2925,5.538461538461538,5.538461538461538,-0.3173457600235126,0.27350427350427353,0.27350427350427353,0.3919904143407028,11.692307692307692,11.692307692307692,1.7926565280797815,0.20512820512820512,0.20512820512820512,-1.053752281687722,1.2307692307692308,1.2307692307692308,-0.3249717731354288,0.48857712757382077,E07000139,E02005453,53.199729000000005,-0.540758
05Q998,2018,B783HF,61,1,150,2,15,1352,4.511834319526627,4.511834319526627,-1.0297994535606905,0.07396449704142012,0.07396449704142012,-0.9786688143996858,11.094674556213018,11.094674556213018,1.4090964918126105,0.14792899408284024,0.14792899408284024,-1.268288961408619,1.1094674556213018,1.1094674556213018,-0.5583078141081701,-2.425968551664555,E07000199,E02006221,52.627359,-1.7079220000000002
06H998,2018,CB28FH,151,1,168,9,29,3749,4.027740730861563,4.027740730861563,-1.3657483344211718,0.026673779674579887,0.026673779674579887,-1.303513611470408,4.481194985329421,4.481194985329421,-2.835424621318011,0.240064017071219,0.240064017071219,-0.9227187768433363,0.7735396105628167,0.7735396105628167,-1.2044984681432076,-7.631903812196135,E07000008,E02003730,52.190877,0.132797
06N998,2018,AL86JL,136,4,405,21,19,3999,3.4008502125531384,3.4008502125531384,-1.8007947241668438,0.1000250062515629,0.1000250062515629,-0.7996564987213338,10.127531882970743,10.127531882970743,0.788385797542186,0.5251312828207052,0.5251312828207052,0.14648101758224197,0.4751187796949237,0.4751187796949237,-1.7785406462860476,-3.444125054049797,E07000241,E02004985,51.802665000000005,-0.207589
06T998,2018,CO45JR,185,2,330,7,39,3126,5.918106206014076,5.918106206014076,-0.05388182624031163,0.06397952655150352,0.06397952655150352,-1.0472566027259518,10.556621880998081,10.556621880998081,1.0637751045687867,0.22392834293026231,0.22392834293026231,-0.9832387366818331,1.2476007677543186,1.2476007677543186,-0.2925946360424462,-1.313196697121756,E07000071,E02004509,51.906851,0.902967
99E998,2018,SS143HG,149,4,172,9,24,2343,6.359368331199317,6.359368331199317,0.25234308686149176,0.17072129748186085,0.17072129748186085,-0.3140364096832707,7.341015791720017,7.341015791720017,-0.9999959846384325,0.38412291933418696,0.38412291933418696,-0.38239806243308333,1.0243277848911652,1.0243277848911652,-0.7220824470322623,-2.166169816925557,E07000066,E02004435,51.591459,0.49622299999999997
A81001,2018,TS181HU,6892,356,6806,420,1668,94138,7.321166797680002,7.321166797680002,0.9198072425396024,0.37816822112218235,0.37816822112218235,1.110937825538158,7.22981155325161,7.22981155325161,-1.0713666954707193,0.4461535193014511,0.4461535193014511,-0.14974032616609975,1.7718668337971915,1.7718668337971915,0.7158833364984706,1.5255213829394119,E06000004,E02002548,54.561625,-1.318986
A81002,2018,TS182AW,33619,1189,40232,491,9203,451628,7.443958301965334,7.443958301965334,1.0050214850119885,0.26326977069623675,0.26326977069623675,0.3216885628799415,8.908216496762822,8.908216496762822,0.0058310402689168385,0.10871779429087657,0.10871779429087657,-1.4153581334741017,2.037739024152621,2.037739024152621,1.2273149641612262,1.1444979188479714,E06000004,E02002548,54.569163,-1.31388
A81004,2018,TS58SB,14014,445,16637,1646,3878,215017,6.5176241878549135,6.5176241878549135,0.36216870566316745,0.20696037987693996,0.20696037987693996,-0.06510642887242503,7.737527730365506,7.737527730365506,-0.7455152264912849,0.7655208657920072,0.7655208657920072,1.0481085405432147,1.803578321714097,1.803578321714097,0.7768835406163573,1.3765391314590296,E06000002,E02002510,54.538198,-1.262142
A81005,2018,TS147DJ,11225,439,19336,448,3638,195489,5.7420110594458,5.7420110594458,-0.1760874674629344,0.22456506504202284,0.22456506504202284,0.055821962540712235,9.891093616520623,9.891093616520623,0.6366400783419893,0.22916890464425108,0.22916890464425108,-0.963582998614049,1.8609742747673783,1.8609742747673783,0.8872903704997419,0.4400819453054601,E06000003,E02002532,54.532596999999996,-1.055444
A81006,2018,TS182AT,27299,865,30581,198,8668,346425,7.880204950566501,7.880204950566501,1.307765782412915,0.24969329580717328,0.24969329580717328,0.22843036178176995,8.827596160785163,8.827596160785163,-0.04591096853858014,0.05715522840441654,0.05715522840441654,-1.6087534877281626,2.5021288879266796,2.5021288879266796,2.120615100525797,2.0021467884537394,E06000004,E02002548,54.568616000000006,-1.313593
A81007,2018,TS247PW,17803,400,15488,93,4598,211019,8.43668105715599,8.43668105715599,1.693946326034373,0.1895563906567655,0.1895563906567655,-0.1846562192169644,7.33962344622996,7.33962344622996,-1.0008895898527495,0.04407186082769798,0.04407186082769798,-1.6578251827424717,2.1789507105995196,2.1789507105995196,1.4989497016942983,0.34952503591648587,E06000001,E02002489,54.682342000000006,-1.214164
A81009,2018,TS56HF,14130,258,17384,844,3684,199976,7.06584790174821,7.06584790174821,0.7426222945064137,0.12901548185782294,0.12901548185782294,-0.6005179427919061,8.693043165179821,8.693043165179821,-0.13226687613013258,0.4220506460775293,0.4220506460775293,-0.24014280372986896,1.8422210665279835,1.8422210665279835,0.8512167074327222,0.6209113792872283,E06000002,E02002500,54.562284999999996,-1.241897
A81011,2018,TS247PW,20847,399,20957,489,6262,273863,7.612200260714299,7.612200260714299,1.1217772096877716,0.14569328459850364,0.14569328459850364,-0.4859564019961474,7.652366329149976,7.652366329149976,-0.8001716840502532,0.17855643150042175,0.17855643150042175,-1.1534148466814729,2.2865447322201247,2.2865447322201247,1.7059175140504734,0.38815179101037156,E06000001,E02002489,54.682342000000006,-1.214164
A81012,2018,TS36AL,15933,208,13296,332,3444,169060,9.424464687093339,9.424464687093339,2.379443537275801,0.12303324263575062,0.12303324263575062,-0.6416105587285216,7.864663433100675,7.864663433100675,-0.6639197261637584,0.19637998343783272,0.19637998343783272,-1.086564175429164,2.0371465751804094,2.0371465751804094,1.2261753295805646,1.2135244065349216,E06000002,E02002497,54.57171700000001,-1.216402
A81013,2018,TS122FF,14519,203,14932,345,3873,165851,8.754243266546478,8.754243266546478,1.9143265817252402,0.12239902080783353,0.12239902080783353,-0.6459670936355605,9.00326196405207,9.00326196405207,0.06683107637588248,0.20801804028917523,0.20801804028917523,-1.0429133972163345,2.3352286088115237,2.3352286088115237,1.7995657975087267,2.091842964757954,E06000003,E02002524,54.565266,-0.936357
A81014,2018,TS232LA,4751,355,10239,157,1157,103972,4.5694994806294,4.5694994806294,-0.9897812694931474,0.3414380794829377,0.3414380794829377,0.8586347083190979,9.84784365021352,9.84784365021352,0.6088823158562785,0.15100219289808794,0.15100219289808794,-1.2567623361650901,1.1127995998922786,1.1127995998922786,-0.551898102863701,-1.330924684346562,E06000004,E02002536,54.608291,-1.294798
A81015,2018,TS101TZ,1366,16,1784,33,318,18721,7.296618770364831,7.296618770364831,0.9027715236270555,0.08546552000427328,0.08546552000427328,-0.8996671058509923,9.52940548047647,9.52940548047647,0.4045091836512301,0.17627263500881363,0.17627263500881363,-1.1619806661659278,1.6986272100849313,1.6986272100849313,0.5749996287496657,-0.17936743598896876,E06000003,E02002515,54.616282,-1.073623
A81016,2018,TS13QY,12871,220,17473,734,3622,215428,5.974617969808938,5.974617969808938,-0.014664071147357169,0.1021222867965167,0.1021222867965167,-0.7852500631466515,8.110830532706983,8.110830532706983,-0.5059300566655425,0.34071708413019663,0.34071708413019663,-0.5452000241208245,1.681304194440834,1.681304194440834,0.541677083525796,-1.3093671315545796,E06000002,E02002496,54.566667,-1.240007
A81017,2018,TS170EE,27475,857,35177,653,6870,381613,7.1997023162208835,7.1997023162208835,0.8355139208225855,0.22457306223844575,0.22457306223844575,0.05587689610471349,9.217977374984605,9.217977374984605,0.20463509999909232,0.17111576387596858,0.17111576387596858,-1.1813225065579513,1.8002531360304812,1.8002531360304812,0.7704872149074552,0.6851906252758951,E06000004,E02002554,54.538149,-1.2921280000000002
