MSOA11CD,loneliness,ITEMS
E02000976,12.057400841673243,63974.0
E02004012,11.246917619551587,15708.0
E02000412,10.41526472022948,61226.0
E02003034,10.024076872119611,226618.0
E02000377,9.769908185896698,74857.0
E02000852,9.75226985662694,76794.0
E02006904,9.67747853168298,105599.0
E02000935,9.438336921037836,76866.0
E02002896,9.392448740079557,192721.0
E02000258,9.337165151730698,68647.0
E02000018,9.258666799369792,45940.0
E02002948,9.110901201926511,92106.0
E02006888,9.061015287614463,245196.0
E02000843,9.013470524229108,82862.0
E02000633,8.937788510509769,108873.0
E02006851,8.686095935089256,81095.0
E02005658,8.654233698270852,105748.0
E02002680,8.587324060028347,94939.0
E02002672,8.585806579574424,376491.0
E02004803,8.57275703635168,148447.0
E02000836,8.40164863142248,45875.0
E02001591,8.317506714028829,58542.0
E02003064,8.275782602386222,287944.0
E02000390,8.200437038736878,220888.0
E02005379,8.182915541889887,68301.0
E02003050,8.05159037941302,695363.0
E02000828,7.8617829531172445,276388.0
E02003012,7.848043581272194,394927.0
E02005995,7.771365190157627,133769.0
E02004808,7.676183757046358,66674.0
E02006890,7.65963622951514,217253.0
E02000718,7.646924243236375,320921.0
E02000619,7.612795767273326,233332.0
E02003056,7.406053642378924,280801.0
E02004760,7.3431155247413855,89507.0
E02000611,7.3412980162499935,57400.0
E02000879,7.281507131783438,54623.0
E02004152,7.224015541489299,32965.0
E02003059,7.080358938286426,222409.0
E02004546,7.048757596997866,60588.0
E02005378,6.9435884852101255,60616.0
E02006794,6.728265382350813,66815.0
E02001053,6.694809011678176,76766.0
E02004346,6.683350505480562,87762.0
E02000588,6.599272523334045,80458.0
E02000734,6.546906796987382,67611.0
E02000050,6.450342004489874,78529.0
E02003778,6.447475668848165,123328.0
E02000631,6.4455668700927715,324795.0
E02000615,6.405516152172482,118036.0
E02002551,6.368268154055128,142571.0
E02000831,6.365257852255,157667.0
E02002409,6.333531770833873,31112.0
E02004888,6.31121926148103,263040.0
E02002660,6.305753295494422,80905.0
E02000727,6.299240802286603,20714.0
E02001798,6.291697072858177,85459.0
E02002969,6.2839768766781265,94101.0
E02005601,6.281811930733882,105065.0
E02001394,6.278498614430035,67801.0
E02003036,6.24960690272742,29346.0
E02004851,6.224748549413734,234347.0
E02003086,6.21176373359008,331260.0
E02000239,6.2035033815989316,150363.0
E02006640,6.2012599859497515,157206.0
E02000638,6.198257453491994,46201.0
E02003041,6.194963827961041,153378.0
E02005635,6.165634450370938,97490.0
E02000493,6.145812385308078,96392.0
E02004658,6.1377495406317895,139906.0
E02005270,6.133765335001325,24122.0
E02000711,6.104181628889059,139517.0
E02005585,6.096518941539893,125580.0
E02001688,6.093731461086435,440105.0
E02000613,6.091486095091893,47108.0
E02000949,6.080162374880062,153109.0
E02004088,6.074714290430698,63699.0
E02005292,6.064102783312681,101531.0
E02000848,6.059978930587802,326503.0
E02000652,6.058523239238115,124590.0
E02002832,5.93826790300594,66958.0
E02000866,5.9194445980363835,127010.0
E02000019,5.871342164196959,319589.0
E02000456,5.866324284604099,391837.0
E02000015,5.85593821848832,75862.0
E02000056,5.841787815226969,112932.0
E02000005,5.834566812212124,107553.0
E02005651,5.825143879036907,2541.0
E02001985,5.796588867746279,81510.0
E02004839,5.790625155875908,51827.0
E02000379,5.774074873847865,217745.0
E02000798,5.771732107819108,104027.0
E02000858,5.762944235417227,214467.0
E02000251,5.741901822200035,96176.0
E02001019,5.740290814678056,148527.0
E02003032,5.740171870223343,354181.0
E02000878,5.70361836082178,261240.0
E02000297,5.678356725184225,387515.0
E02000447,5.649700245937988,58471.0
E02004850,5.647957942180396,127509.0
E02006375,5.630083438557465,125899.0
E02000628,5.625193131772153,211989.0
E02003656,5.606196164900303,82399.0
E02006889,5.597959039491225,241511.0
E02003037,5.555326949080713,181530.0
E02000576,5.533689926179904,77680.0
E02003658,5.533395511912044,367830.0
E02004568,5.519387229470176,59386.0
E02004615,5.518792949623578,117439.0
E02005582,5.4888630707880885,242155.0
E02004461,5.46915667890604,119975.0
E02006522,5.455145711375418,54640.0
E02004500,5.42489285733485,527961.0
E02002833,5.419288381797147,44864.0
E02006028,5.417735485015774,60710.0
E02001205,5.414760472636166,134908.0
E02000834,5.411031959530389,319459.0
E02000321,5.41010836479299,72478.0
E02006447,5.401169588912324,108825.0
E02000548,5.386099035378891,213171.0
E02003881,5.381837146100741,183504.0
E02002842,5.35434978799506,299283.0
E02006642,5.343146974274912,179448.0
E02001705,5.342177580852686,86171.0
E02000840,5.33347438894404,325480.0
E02000926,5.328274510281867,395766.0
E02000627,5.31681300120097,179352.0
E02000927,5.288940507790619,115974.0
E02000697,5.247486239720179,104463.0
E02000459,5.227761440723642,83998.0
E02004558,5.194761314602099,688502.0
E02000636,5.183629011647659,159842.0
E02001586,5.16495245661206,238577.0
E02000287,5.161405763298588,229783.0
E02005692,5.127717387195804,31888.0
E02004863,5.094094871511978,120028.0
E02006413,5.086802590385905,50990.0
E02004652,5.074368725248061,82966.0
E02000804,5.037847641357282,159250.0
E02003999,5.018583705976784,124461.0
