MSOA11CD,loneliness,LISA_score,LISA_support
E02003653,4.275539499577697,1.0,3
E02000703,4.272418392379581,1.0,7
E02005979,4.272170094258515,1.0,10
E02000362,4.264993228616935,1.0,7
E02004527,4.262833901554918,1.0,11
E02000945,4.255757771088884,1.0,9
E02005650,4.253121562651749,1.0,5
E02006353,4.246772517802766,1.0,7
E02004847,4.241061311988642,1.0,7
E02000005,4.217797120255453,1.0,6
E02006642,4.215119591741005,0.8571428571428571,7
E02000885,4.206389933936946,1.0,6
E02000550,4.204900614723276,1.0,5
E02005337,4.203545425856876,1.0,7
E02000542,4.197887503423565,1.0,6
E02003027,4.192440462100028,1.0,6
E02004809,4.188793794768528,1.0,11
E02000967,4.184842412303093,1.0,7
E02000020,4.1782336802586615,0.9166666666666666,12
E02004853,4.173960838966939,0.9,10
E02004549,4.140361662751466,1.0,6
E02003040,4.139179149273596,1.0,8
E02006447,4.1376690856627665,1.0,6
E02003759,4.136477711869042,1.0,10
E02000830,4.132390569226583,1.0,8
E02004852,4.128086461079514,1.0,5
E02006347,4.121147195194535,1.0,7
E02000652,4.120957490730937,1.0,8
E02000589,4.117701074307212,1.0,6
E02000376,4.097473095027029,1.0,6
E02004652,4.08050509247832,0.8,10
E02000765,4.068532640303445,1.0,5
E02000380,4.060278834591776,1.0,7
E02000451,4.051081012385018,1.0,8
E02004551,4.046331336177278,1.0,6
E02005947,4.042555562918031,1.0,7
E02001594,4.040413575091907,1.0,8
E02000374,4.033528341904274,1.0,7
E02000889,4.031564269990276,1.0,6
E02003883,4.030297479457337,1.0,7
E02000875,4.0285356207923915,1.0,7
E02004548,4.0185979398831035,1.0,5
E02006375,4.01831512757143,0.6666666666666666,6
E02002969,4.016975311856482,0.8,5
E02004597,4.015488431870607,1.0,4
E02004561,4.012226159956619,1.0,12
E02004810,4.005921650045944,1.0,6
E02000718,4.002498117440692,1.0,7
E02000962,3.987584799447818,0.8333333333333334,6
E02004595,3.9748488127677444,1.0,9
E02000877,3.9664358590686244,1.0,9
E02003004,3.9618309089204984,1.0,10
E02000258,3.95844876919756,0.8,5
E02000823,3.9580817101151995,1.0,8
E02000375,3.95734107013947,1.0,10
E02003033,3.937940066847335,0.8571428571428571,7
E02003976,3.9307785450930757,1.0,7
E02004802,3.925556848858016,1.0,7
E02002867,3.9199468473314316,1.0,9
E02006483,3.917222491305437,1.0,8
E02000591,3.913586014571348,1.0,7
E02005690,3.900927771042567,1.0,4
E02006640,3.8948136065787895,0.6,10
E02005620,3.868542631735046,1.0,5
E02000418,3.861311416087137,1.0,7
E02000373,3.851885370275765,1.0,4
E02004557,3.8433813539802846,1.0,5
E02004596,3.8393920472044387,1.0,6
E02000056,3.834345105584552,0.7,10
E02000638,3.8212043017188213,1.0,5
E02000886,3.8200733938088987,1.0,7
E02002712,3.819672877769265,1.0,7
E02005378,3.8140414192321153,0.8333333333333334,6
E02000245,3.8052709800145874,0.5714285714285714,7
E02003060,3.79456049671417,1.0,6
E02001588,3.7875955986941783,1.0,5
E02003876,3.7855252430221693,1.0,4
E02000412,3.7846130062058227,1.0,8
E02005370,3.7833439598295007,1.0,4
E02005657,3.7785524459969033,1.0,8
E02002849,3.7757943919491153,1.0,8
E02003881,3.7746849954187343,1.0,3
E02000727,3.7704683178342147,1.0,7
E02000869,3.7697460495677535,1.0,5
E02004012,3.7672183948659517,0.6666666666666666,9
E02006480,3.753110130065504,1.0,7
E02000777,3.7394113198069605,1.0,9
E02003023,3.7293323232976414,1.0,6
E02000248,3.7154632572032895,1.0,8
E02000879,3.709463510690051,1.0,8
E02003763,3.688429095674693,1.0,5
E02004550,3.68814173405174,1.0,7
E02004489,3.6839854715244136,1.0,9
E02000719,3.677235807319189,1.0,7
E02004599,3.6704624511601516,1.0,12
E02003045,3.661063421395584,1.0,6
E02004664,3.6521739076386446,1.0,5
E02003032,3.6519820817665676,1.0,7
E02000847,3.6489102150771857,0.875,8
E02004598,3.645752675163472,1.0,10
E02000882,3.6434811579880093,1.0,6
E02005653,3.6351281813158334,1.0,8
E02000296,3.6341703228690063,1.0,7
E02000968,3.6328906936472096,0.875,8
E02004616,3.6311536750194335,1.0,7
E02005652,3.6282278544343245,1.0,5
E02000848,3.6267846329744113,1.0,5
E02000371,3.6235454946985355,1.0,9
E02002836,3.622108622211497,0.8571428571428571,7
E02003875,3.6170714812975575,0.5714285714285714,14
E02003054,3.616850021634999,1.0,6
E02004499,3.6130768299061717,1.0,4
E02000001,3.6104971219948188,0.8571428571428571,14
E02004553,3.610082208347963,1.0,6
E02000970,3.605406339796607,1.0,7
E02005672,3.598288100473003,1.0,5
E02003969,3.5979822105688326,1.0,4
E02003150,3.5944274094474333,0.8,5
E02004497,3.5928184331051547,1.0,8
E02004501,3.5913176126125554,1.0,6
E02000548,3.5896076187745436,0.8571428571428571,7
E02003021,3.588453940038982,1.0,6
E02005993,3.5851222947553585,1.0,3
E02004811,3.571361625427288,1.0,4
E02004547,3.566123186873327,1.0,6
E02000762,3.5650285079884103,1.0,6
E02000247,3.5626048729388904,1.0,9
E02000643,3.561522826655674,0.8571428571428571,7
E02004495,3.5610720994029506,0.75,8
E02000938,3.5605959561404648,1.0,5
E02000829,3.5522938431882043,0.6666666666666666,6
E02000613,3.550226483224317,1.0,6
E02000801,3.53629707121892,1.0,7
E02000411,3.5358361928925417,1.0,6
E02004877,3.5354529749762635,1.0,6
E02000697,3.5328158086518027,1.0,8
E02004460,3.5301154851133907,1.0,7
E02000549,3.529715759437362,1.0,8
E02006335,3.525536060701095,1.0,6
E02000873,3.519598558126351,1.0,8
E02000525,3.5195214501690684,1.0,7
E02000118,3.5192330389429936,1.0,6
E02000372,3.514143458125282,0.9166666666666666,12
E02004496,3.5009499034674336,1.0,8
E02000249,3.4963595998220516,1.0,6
E02001053,3.4934300532676814,0.5,8
E02003641,3.4910752889748817,1.0,4
E02000695,3.4860316264113753,1.0,8
E02004498,3.485955589608942,1.0,6
E02005628,3.477159847004794,0.9,10
E02003968,3.46825031036051,1.0,4
E02000827,3.467232391446552,1.0,7
E02000206,3.461696347580709,0.75,8
E02005661,3.459604274620569,1.0,5
E02004555,3.4591389264893206,1.0,8
E02000408,3.451990718660917,1.0,6
E02000804,3.448216277265754,1.0,5
E02000243,3.442407290414063,1.0,9
E02005948,3.440328770674136,1.0,7
E02000799,3.4375856638481848,1.0,5
E02000390,3.4263719946260176,1.0,7
E02000386,3.4210130493286752,1.0,7
E02000851,3.4177882503878387,1.0,7
E02005655,3.409262720537942,1.0,6
E02000637,3.4012599906462295,1.0,6
E02000619,3.401045236306984,0.8571428571428571,7
E02000972,3.399056587965437,1.0,6
E02005666,3.3934563067491452,1.0,6
E02000861,3.391741715437452,1.0,7
E02006482,3.391340124326222,0.8571428571428571,7
E02000447,3.383916231436064,0.7142857142857143,7
E02000646,3.3813332260169684,0.8,5
E02000641,3.3792272752146215,1.0,8
E02004812,3.371172819598264,1.0,6
E02000014,3.364283335718282,1.0,6
E02003882,3.3628795455163765,1.0,5
E02002551,3.359507145728644,1.0,5
E02005670,3.3567936619130503,1.0,9
E02005659,3.3555722159559815,1.0,6
E02004003,3.3549936764826653,1.0,8
E02004659,3.3544610708507174,1.0,11
E02003039,3.350761038166782,1.0,6
E02005582,3.3449030898203045,0.8,5
E02000576,3.332427322219144,0.8333333333333334,6
E02005662,3.3317340383565517,1.0,8
E02003387,3.3312411120152317,1.0,5
E02000378,3.330662323598439,1.0,7
E02000269,3.3246066690913305,1.0,7
E02004006,3.3092961864067676,0.8571428571428571,7
E02005687,3.3079329461495677,0.9,10
E02000854,3.306978038984333,1.0,10
E02000803,3.30239188226203,1.0,6
E02005581,3.2891204426501264,1.0,9
E02004863,3.286650378527753,1.0,5
E02003292,3.274838682962761,0.8333333333333334,6
E02004347,3.273992047999533,1.0,3
E02004617,3.269991128524576,1.0,6
E02005579,3.2697274866604307,1.0,3
E02000112,3.2674321855456294,1.0,7
E02003254,3.267180153998045,1.0,10
E02003726,3.266793874883029,0.8333333333333334,6
E02002704,3.264957209830667,1.0,7
E02003041,3.263466683166308,0.8,5
E02006854,3.262266452428078,1.0,7
E02004563,3.2601099956985493,1.0,8
E02004804,3.250510558585454,1.0,7
E02000644,3.248742158316193,1.0,8
E02004373,3.24637938239992,1.0,6
E02004884,3.2447440482233594,1.0,5
E02000521,3.2397021189873527,1.0,7
E02000699,3.2386060565626487,1.0,6
E02000592,3.2265886869686025,1.0,9
E02004858,3.219402681327681,1.0,4
E02000844,3.215416523579806,1.0,7
E02005452,3.2123712763399266,1.0,7
E02006505,3.2073923395027113,0.8333333333333334,6
E02000712,3.2049393110513336,1.0,8
E02000394,3.2034122681313555,1.0,6
E02004487,3.2011061021889353,1.0,9
E02000865,3.1959575072128463,1.0,6
E02000841,3.195922865894926,1.0,6
E02006357,3.1908572748186144,0.8571428571428571,7
E02003024,3.189752225726443,1.0,7
E02002661,3.1889546677009566,1.0,6
E02000880,3.1883135121741817,1.0,6
E02000319,3.182955268842178,0.625,8
E02000384,3.1757692497038,1.0,8
E02004661,3.174723750436325,1.0,5
E02000919,3.173448609642977,1.0,6
E02004813,3.169220332160671,1.0,6
E02000620,3.1672233509137646,1.0,7
E02005669,3.1615969763511074,1.0,9
E02005674,3.161035358894507,1.0,6
E02003016,3.1604013306148753,1.0,6
E02004881,3.157021113440145,1.0,5
E02006475,3.1539254296889485,1.0,6
E02000757,3.1523897918227806,1.0,7
E02003879,3.1520247694584733,1.0,8
E02003768,3.149771943246626,0.8888888888888888,9
E02005633,3.148260443306576,1.0,3
E02000617,3.147808028514332,0.6666666666666666,9
E02004653,3.1471290893715156,0.875,8
E02000523,3.1451801741126415,1.0,5
E02003029,3.1443820423442004,1.0,5
E02003734,3.142055246800308,1.0,4
E02000597,3.1383168155577716,1.0,6
E02001582,3.137063320189087,0.8571428571428571,7
E02004634,3.1362958907821854,0.7142857142857143,7
E02002854,3.134309234063182,1.0,6
E02000623,3.133172405162223,1.0,5
E02001705,3.131840452832755,0.75,8
E02005451,3.127557202620975,1.0,5
E02003970,3.125972775819556,1.0,9
E02005296,3.1227285898804777,1.0,7
E02004152,3.1195352865796346,1.0,5
E02003727,3.1194370976352594,1.0,5
E02000119,3.1188533362959685,1.0,8
E02003302,3.1173532986895225,1.0,5
E02000383,3.1128130771645566,1.0,7
E02000625,3.1071291300236616,1.0,7
E02003722,3.104272931187682,0.8333333333333334,6
E02005528,3.0952947651484095,1.0,4
E02000734,3.094636383412669,1.0,6
E02000407,3.0895435491186087,1.0,7
E02000299,3.0888152743258495,1.0,6
E02003640,3.0880323110282024,1.0,8
E02003643,3.0878017281965846,1.0,6
E02003015,3.085618334525274,1.0,7
E02005978,3.078010157516217,1.0,7
E02000971,3.0760347954159983,1.0,6
E02000421,3.0739069569089583,1.0,8
E02006444,3.072634942659978,1.0,4
E02000721,3.0678209038633812,1.0,8
E02003659,3.0665044741534584,0.9,10
E02001019,3.0618675304939362,1.0,6
E02000363,3.0593442557082087,1.0,6
E02004913,3.0556268548421537,1.0,20
E02000290,3.0550912922421585,0.625,8
E02000426,3.0549017020635216,1.0,8
E02003720,3.0539046990862495,0.6666666666666666,6
E02002829,3.052910559801869,1.0,8
E02003719,3.0519478724615468,0.8333333333333334,6
E02003005,3.0518271654114417,0.5714285714285714,7
E02005671,3.050285191520876,1.0,6
E02000117,3.0445082663980965,0.8333333333333334,6
E02005270,3.04224521805915,0.6153846153846154,13
E02000918,3.0386311940816872,1.0,8
E02005689,3.038301614405941,1.0,5
E02000921,3.037926627153702,1.0,6
E02000294,3.025112701875897,0.8571428571428571,7
E02000300,3.0169232659514607,1.0,6
E02005585,3.0142097597936894,1.0,7
E02004493,3.0133458760919,1.0,6
E02004015,3.011484427903694,0.75,8
E02003430,3.009618424584155,1.0,9
E02000301,3.0056112112548203,0.6666666666666666,6
E02000257,3.005412626321569,0.8888888888888888,9
E02000021,3.005278114264471,1.0,7
E02004529,3.004758093534541,0.8461538461538461,13
E02004807,2.9950695913699477,1.0,6
E02000385,2.9926249291389873,1.0,7
E02000288,2.990812082469999,0.8333333333333334,6
E02000113,2.990396554120017,0.875,8
E02005381,2.9903776092365675,1.0,8
E02000786,2.986466633771645,1.0,9
E02006476,2.9834987184581405,1.0,6
E02004655,2.9833275039602496,1.0,4
E02005627,2.979459898318189,1.0,8
E02000251,2.9770160646654067,1.0,6
E02003638,2.9747873337293718,1.0,6
E02005276,2.9724952022232034,0.8333333333333334,6
E02004153,2.9721441109284474,0.8571428571428571,7
E02005964,2.9689791905658787,1.0,6
E02000359,2.965462760173091,0.8333333333333334,6
E02002334,2.9635650842172674,0.4,5
E02005656,2.9602310044946405,1.0,4
E02004005,2.9585895575820826,1.0,5
E02000825,2.957557381561676,1.0,9
E02005635,2.9572173922188236,1.0,7
E02005931,2.9519918440228317,1.0,9
E02001707,2.9513840543429146,1.0,7
E02003658,2.950992459500397,0.9,10
E02000871,2.949109995178412,0.8571428571428571,7
E02006439,2.946782522355683,1.0,9
E02003433,2.9462904656403786,1.0,6
E02006477,2.9436532730060927,0.875,8
E02000954,2.9349262599653647,0.875,8
E02000710,2.9346849608082066,1.0,10
E02006836,2.934615371357172,0.875,8
E02002862,2.9312283216927315,1.0,5
E02000958,2.9301215487689753,0.8333333333333334,6
E02000850,2.9298455315404324,0.9166666666666666,12
E02003038,2.929132116091265,1.0,6
E02005636,2.9286424496647436,1.0,7
E02000414,2.9278770493370767,1.0,5
E02000976,2.927370695548759,0.8333333333333334,6
E02006426,2.9270348704129687,1.0,4
E02004885,2.924673517598468,1.0,6
E02006791,2.920229320530229,0.8,5
E02005445,2.919547837649173,0.8571428571428571,7
E02000188,2.919418576996592,0.8,5
E02003013,2.9150296630424672,1.0,8
E02000013,2.9134249560043135,1.0,8
E02000415,2.9100742851632493,1.0,8
E02004854,2.9053741179810357,1.0,5
E02004199,2.904347932339406,0.16666666666666666,6
E02000598,2.900605649491249,1.0,6
E02005462,2.897027838415691,1.0,4
E02006427,2.892916849614525,0.9,10
E02003017,2.892567308268272,1.0,6
E02000420,2.891822224069454,1.0,6
E02000387,2.889600179913343,1.0,5
E02005654,2.888455191581997,1.0,7
E02000381,2.8879762863842635,1.0,6
E02003046,2.8858398581778015,1.0,10
E02000621,2.884081288866471,1.0,8
E02000211,2.8795679554914204,0.5714285714285714,7
E02003971,2.875435221382359,1.0,6
E02000868,2.872391946181584,1.0,9
E02002733,2.8722366395397034,0.5,6
E02005691,2.8683641261861688,1.0,9
E02005638,2.8663498533847998,0.8571428571428571,7
E02006440,2.864505222686996,1.0,5
E02001296,2.8605940780116548,0.8571428571428571,7
E02006904,2.8579094614482976,0.5,8
E02000845,2.8524126668884144,1.0,7
E02001688,2.851229974319346,0.42857142857142855,14
E02001584,2.8499986437248452,0.6153846153846154,13
E02004528,2.8474081782625196,1.0,15
E02004530,2.847183655693337,0.6666666666666666,3
E02004956,2.841886247499777,1.0,7
E02003310,2.837608914067585,1.0,10
E02000032,2.836486313216734,1.0,7
E02005940,2.8353995097075715,1.0,7
E02005584,2.831616682029422,1.0,11
E02003980,2.830470542208108,0.8571428571428571,7
E02003434,2.8271451583054845,1.0,4
E02006017,2.8263895692476337,1.0,4
E02000271,2.825946737311277,0.8571428571428571,7
E02004859,2.8256276178479123,1.0,7
E02003417,2.823126881632334,0.7142857142857143,7
E02003880,2.8209011538200475,1.0,6
E02000586,2.8202351805878716,1.0,6
E02005386,2.8175994135779234,1.0,6
E02006376,2.8168698338277274,1.0,8
E02004554,2.815629752121453,1.0,6
E02004568,2.8113361253663474,0.7142857142857143,7
E02005096,2.8097649311710993,0.8,5
E02001596,2.80277825392303,1.0,4
E02000423,2.802172372465212,1.0,6
E02004000,2.8016940645046104,1.0,6
E02005098,2.7962997478516054,1.0,7
E02005575,2.795705323522619,1.0,10
E02002855,2.7928345340099567,1.0,7
E02005344,2.7909826514669005,0.8571428571428571,7
E02005388,2.790342077044644,1.0,5
E02003983,2.7898201132875435,1.0,6
E02001798,2.7892671185803337,0.8888888888888888,9
E02000806,2.788230008608079,1.0,13
E02002973,2.7852482371957645,1.0,9
E02005387,2.782483180476752,0.8571428571428571,7
E02004535,2.778283674449808,0.8125,16
E02000842,2.771606022658571,1.0,8
E02004805,2.7686912842660916,1.0,8
E02005665,2.7678637674470066,1.0,7
E02004552,2.7676773130159416,1.0,5
E02006441,2.7675900747179796,1.0,8
E02003613,2.7663656477322958,1.0,5
E02002520,2.765292552794964,1.0,7
E02004560,2.7648696550148038,1.0,6
E02003293,2.7607703816183182,0.8,5
E02000297,2.7596130418856797,1.0,8
E02005389,2.7595815459228628,1.0,7
E02003432,2.7550411417716325,1.0,6
E02001213,2.752385966750383,0.75,8
E02006910,2.749075212560134,0.8888888888888888,9
E02006799,2.7455607112631086,1.0,6
E02000553,2.7454108440868668,1.0,7
E02004076,2.7439487227791077,1.0,3
E02006518,2.743703693588326,0.8571428571428571,7
E02004567,2.7424524793781195,1.0,7
E02000402,2.742140168242636,1.0,6
E02003049,2.741267778876887,1.0,6
E02000849,2.740303390418719,1.0,5
E02005390,2.73487159580269,0.8333333333333334,6
E02005963,2.7338962543135503,1.0,18
E02004526,2.732710749376573,1.0,3
E02000651,2.7305843281288813,1.0,8
E02004536,2.726914268858877,1.0,10
E02005675,2.7248891757907954,1.0,6
E02002716,2.72476813614714,1.0,3
E02004632,2.722743869344291,1.0,3
E02005532,2.721659672742338,1.0,6
E02003312,2.7174009360757125,0.6666666666666666,6
E02000853,2.7156089834459074,1.0,7
E02003724,2.7146925417863788,0.8888888888888888,9
E02004531,2.7133400939097445,1.0,5
E02005507,2.70799600716495,1.0,5
E02004435,2.7074198744142635,0.625,8
E02003422,2.7070992813863977,0.8,15
E02005626,2.7062908873434983,1.0,6
E02004631,2.7061010456931185,0.625,8
E02005447,2.70534229394163,0.8,5
E02004462,2.7051996783453025,1.0,5
E02005586,2.7048082596151968,1.0,6
E02006317,2.7022112241250493,1.0,6
E02004533,2.701377176994698,1.0,3
E02000318,2.701101251209339,0.8333333333333334,6
E02004534,2.6997460505852287,0.8,5
E02003985,2.69903523451721,0.75,4
E02005368,2.69591383031387,0.7,10
E02000389,2.6951825090265094,1.0,7
E02003243,2.6882873419004323,1.0,6
E02000698,2.688258514827531,1.0,7
E02000838,2.6830806329474113,0.8571428571428571,7
E02004912,2.679882271030307,1.0,5
E02004969,2.6796116933078977,1.0,5
E02004970,2.676875189516893,1.0,9
E02004656,2.666961091500456,1.0,4
E02004957,2.6645797444747616,1.0,6
E02000007,2.6635487765744728,1.0,7
E02005619,2.663294978008044,0.9166666666666666,12
E02001205,2.6574601194367458,0.8333333333333334,6
E02000252,2.650423207302434,1.0,9
E02001209,2.645716257032781,0.5714285714285714,7
E02004662,2.6452103370756674,0.6,10
E02000635,2.644606927862837,1.0,9
E02004516,2.636934872896439,1.0,7
E02004494,2.6328947032020324,1.0,8
E02004485,2.632692152037423,1.0,8
E02000566,2.629856864049594,0.625,8
E02000788,2.6284461747265992,1.0,6
E02002857,2.6273157607136763,1.0,7
E02004512,2.6268626315843364,0.8333333333333334,6
E02004633,2.6254001429167824,0.6666666666666666,6
E02005994,2.625331266324313,0.875,8
E02003639,2.624082244143727,1.0,4
E02001810,2.621511279138418,1.0,5
E02005470,2.6212347639545563,0.8,5
E02003435,2.6210599004550765,1.0,8
E02005941,2.61733851773356,1.0,5
E02005624,2.6138336514387213,1.0,5
E02001804,2.607529838481509,1.0,7
E02005678,2.6074953889871826,1.0,9
E02005942,2.6034378118113897,1.0,5
E02005973,2.6032189985553416,0.8,5
E02002668,2.6010512691782472,1.0,6
E02005975,2.600331541952404,1.0,7
E02005630,2.595796070289196,1.0,7
E02000730,2.5950390735646165,1.0,6
E02005956,2.592450076455896,1.0,6
E02000239,2.5913729634149916,1.0,9
E02000846,2.586691392411907,1.0,7
E02000704,2.5853580913118037,1.0,7
E02003615,2.584747109184619,1.0,8
E02000975,2.581689567906667,0.7142857142857143,7
E02005673,2.5792582706277902,1.0,7
E02006373,2.5760029831652163,0.6666666666666666,12
E02000479,2.575762060524154,1.0,5
E02004348,2.573157091020562,0.8181818181818182,11
E02003972,2.5708474277065374,1.0,6
E02003778,2.5654883463157403,0.7142857142857143,7
E02000609,2.562739537546395,1.0,6
E02004453,2.5618509279222894,1.0,5
E02004394,2.5609813370887564,0.8888888888888888,9
E02005078,2.556092868599768,0.6666666666666666,9
E02000457,2.555303931595795,1.0,7
E02006319,2.5498716220384408,1.0,4
E02003732,2.547677608933525,1.0,8
E02000608,2.547447650275321,1.0,6
E02003303,2.5470307562178527,1.0,8
E02006442,2.54554613458387,0.875,8
E02004303,2.5383076513806158,0.8,5
E02006318,2.537841523720054,1.0,9
E02001689,2.5363872394442155,1.0,5
E02004917,2.535195147184204,1.0,5
E02000357,2.5323045181328707,0.625,8
E02004977,2.531725660816015,1.0,5
E02005950,2.5313409279499557,1.0,7
E02005531,2.530603349715219,1.0,6
E02004621,2.530198403566436,1.0,5
E02000926,2.5271805318045057,1.0,8
E02000601,2.523040738030465,1.0,6
E02000524,2.522313112944322,0.8,10
E02004968,2.5205907235821723,1.0,7
E02000607,2.5180355213710017,1.0,8
E02000610,2.516110578817805,1.0,6
E02000925,2.5152019200608846,1.0,6
E02000475,2.512273476363645,0.75,8
E02000826,2.505296400826072,1.0,5
E02000917,2.50235554257334,1.0,6
E02004886,2.502322978206043,1.0,13
E02001152,2.5017517269451464,0.4,10
E02002838,2.498089169811795,0.8333333333333334,6
E02005274,2.4946547888287145,0.7777777777777778,9
E02004450,2.493252048560921,1.0,8
E02005936,2.4910800260184907,1.0,12
E02005522,2.484817341287463,1.0,6
E02000951,2.4845492991169302,1.0,4
E02005180,2.482893007137574,0.625,8
E02005622,2.4818399966520257,1.0,11
E02004654,2.481193802437775,1.0,8
E02002526,2.4793292567872443,1.0,5
E02005587,2.478704046280857,1.0,7
E02003765,2.475915240404713,1.0,5
E02003614,2.4754114386892554,1.0,5
E02000166,2.4752558482085107,0.5555555555555556,9
E02000800,2.4744528653193143,1.0,8
E02000575,2.472460407545322,0.8571428571428571,7
E02005938,2.47100764911249,1.0,4
E02005385,2.468540043773088,1.0,6
E02000409,2.4684566111983495,1.0,9
E02002523,2.4653335980083173,1.0,4
E02000050,2.4651168173476976,0.8571428571428571,7
E02006792,2.4650801350957856,0.75,8
E02005603,2.4644024708162653,0.875,8
E02003975,2.4633962193386516,1.0,6
