lad20cd,loneliness,LISA_score,LISA_support
E06000001,-0.5500762691416464,0.25,4
E06000002,0.8640003858068357,0.75,4
E06000003,2.187181763505833,0.6666666666666666,6
E06000004,0.2930144197993282,0.7142857142857143,7
E06000005,1.2555701161816974,0.6,5
E06000006,-1.3074407478165262,0.8333333333333334,6
E06000007,-0.5220630259327648,0.75,8
E06000008,2.836599047307913,0.5,8
E06000009,-1.1078879061477198,0.6666666666666666,3
E06000010,0.870428378232456,0.5,2
E06000011,-2.279979560146585,0.75,8
E06000012,-0.6427137429537588,0.75,4
E06000013,-0.8632452433288738,0.6666666666666666,6
E06000014,-0.5484487622689131,1.0,6
E06000015,-1.6184658778616459,1.0,4
E06000016,5.9443706532623715,0.8,5
E06000017,1.2129024245688296,1.0,6
E06000018,-1.8028868720705562,1.0,5
E06000019,-1.6052020499297286,1.0,4
E06000020,-0.4602391118444629,1.0,4
E06000021,-0.37798286682436966,0.75,4
E06000022,0.13282850970719834,0.3333333333333333,6
E06000023,-1.4317462427280447,0.75,4
E06000024,-0.9094447966849674,0.8,5
E06000025,-1.7255693647664534,0.42857142857142855,7
E06000026,-3.3867394533558706,0.6666666666666666,3
E06000027,-1.6026770486838073,1.0,3
E06000030,0.17613219281631498,1.0,4
E06000031,2.4921706000978867,0.6666666666666666,6
E06000032,-2.3207404416590576,0.3333333333333333,3
E06000033,2.3893444546701827,1.0,3
E06000034,1.3672755475959728,0.8888888888888888,9
E06000035,0.11802915387839054,0.8571428571428571,7
E06000036,0.669311488865021,0.6,5
E06000037,-0.800841512053556,0.375,8
E06000038,0.8696067736743653,0.5,4
E06000039,2.2266832013236986,0.8,5
E06000040,0.8047073199979266,0.5,8
E06000041,-1.4548109499253197,0.3333333333333333,9
E06000042,0.06374798880950677,0.6666666666666666,6
E06000043,-2.0910319185208674,1.0,5
E06000044,-1.495066980732103,1.0,5
E06000045,-0.9239637959687983,1.0,4
E06000046,-2.494141976046818,1.0,1
E06000047,0.9616617948491675,0.6666666666666666,9
E06000049,0.1827801110786674,0.4,10
E06000050,-1.5020711926554433,0.7142857142857143,7
E06000051,-1.0845163880120636,0.8,10
E06000052,0.06773809847680615,0.2,5
E06000053,0.3888094337821029,1.0,1
E06000054,0.6014146841387891,0.5,12
E06000055,-1.3301646139487564,0.3333333333333333,6
E06000056,2.438546596916764,0.6,10
E06000057,0.01221765194604224,0.8571428571428571,7
E06000058,-4.680582010869839,0.6666666666666666,3
E06000059,0.40788603713624877,0.3333333333333333,6
E06000060,-0.022066836025413025,0.16666666666666666,12
E07000008,2.4174213236516673,1.0,2
E07000009,2.028931555993241,0.6666666666666666,6
E07000010,-0.15173331222389314,0.3333333333333333,6
E07000011,-0.12027502082519291,0.375,8
E07000012,0.3200799230358421,0.8888888888888888,9
E07000026,1.7100470202157667,1.0,5
E07000027,2.0889260538795704,1.0,3
E07000028,1.383083539310216,1.0,4
E07000029,1.7903838098227602,1.0,4
E07000030,1.2069877881551403,0.8571428571428571,7
E07000031,1.1447709646583462,0.75,8
E07000032,-1.1694899817924933,0.8888888888888888,9
E07000033,0.1192583672934368,0.625,8
E07000034,0.7167036829609319,0.6666666666666666,3
E07000035,-0.31786139014248727,1.0,8
E07000036,-1.3822416280542158,0.8571428571428571,7
E07000037,-1.0656338459392856,0.7,10
E07000038,-0.03694601941597872,0.5714285714285714,7
E07000039,-2.433925686384529,0.875,8
E07000040,-2.531269066112191,0.7142857142857143,7
E07000041,0.9380403218295036,0.3333333333333333,3
E07000042,-2.3360278301142885,1.0,7
E07000043,-1.8700868963501478,1.0,4
E07000044,-2.2396872949881126,0.8333333333333334,6
E07000045,-1.420350897670168,0.8571428571428571,7
E07000046,-2.5061405832503385,0.8,5
E07000047,-0.7484826622891638,0.8333333333333334,6
E07000061,0.07585534874234987,0.5,2
E07000062,2.2824264120765845,1.0,2
E07000063,-1.4041484155180848,1.0,4
E07000064,1.5855485018240931,0.3333333333333333,6
E07000065,-0.6734321719273284,0.625,8
E07000066,2.4090219308470586,0.8333333333333334,6
E07000067,0.8969639348421606,1.0,8
E07000068,-1.2689202402838375,0.16666666666666666,6
E07000069,1.4963487093243457,1.0,6
E07000070,3.792877714745672,0.875,8
E07000071,1.678549651496512,1.0,5
E07000072,2.8164958639009328,0.8181818181818182,11
E07000073,5.037726305373502,1.0,3
E07000074,3.022055323376784,1.0,5
E07000075,1.1897273499730778,1.0,6
E07000076,1.1039285395318128,1.0,3
E07000077,2.9849277679752477,1.0,7
E07000078,0.9812749649713108,1.0,3
E07000079,2.1196931121600757,0.9090909090909091,11
E07000080,-0.6760949843658495,0.6666666666666666,6
E07000081,-0.01961830541980311,0.3333333333333333,3
E07000082,2.9784244877548844,0.5,6
E07000083,1.1765340157992237,0.625,8
E07000084,1.2545404278404095,0.2857142857142857,7
E07000085,-0.22440122791203912,0.5714285714285714,7
E07000086,-2.457809994483863,1.0,6
E07000087,-0.4068791524945399,1.0,5
E07000088,-1.0781607537750044,1.0,3
E07000089,1.9374022316583335,0.5,8
E07000090,-1.3398586227169116,0.8,5
E07000091,-2.3915677045670485,0.7142857142857143,7
E07000092,4.179368994612496,0.4,5
E07000093,-1.2106235046562561,0.75,8
E07000094,-0.3911299200548445,0.875,8
E07000095,4.436008431399931,1.0,5
E07000096,1.7091831801512187,0.8,5
E07000098,-1.4133752501436851,0.125,8
E07000099,2.1384543071309774,0.8888888888888888,9
E07000102,1.3187234573272708,0.75,8
E07000103,2.2430094247872123,0.75,4
E07000105,-1.1500948201040515,0.5714285714285714,7
E07000106,-2.0444516065255205,0.8333333333333334,6
E07000107,1.2841529041997357,1.0,5
E07000108,-3.0929724395150613,1.0,4
E07000109,0.23559002263871126,0.8333333333333334,6
E07000110,1.9133440803572621,0.5,6
E07000111,2.5602058317044336,0.4444444444444444,9
E07000112,-1.1455291767905362,0.8,5
E07000113,1.9419956490365924,0.6,5
E07000114,-0.5600942448409831,1.0,3
E07000115,-0.14287267786118146,0.3333333333333333,6
E07000116,-0.028483086163142657,0.5714285714285714,7
E07000117,-0.8496603583065971,0.6666666666666666,6
E07000118,-0.039413371691518845,0.6666666666666666,6
E07000119,-0.9530853337751442,0.5,6
E07000120,-2.183199797127545,0.4,5
E07000121,-1.7858532313523006,0.2,5
E07000122,-0.15451769853198066,0.6666666666666666,6
E07000123,0.07157636897520772,0.8,5
E07000124,2.282429708278349,0.6,10
E07000125,0.36287842291669187,0.2857142857142857,7
E07000126,1.2969572191558383,0.5714285714285714,7
E07000127,-0.6666438283812368,0.875,8
E07000128,0.4324184856972403,0.5,6
E07000129,1.2883776424865143,0.8571428571428571,7
E07000130,0.274088215127859,0.875,8
E07000131,0.789666142855644,0.9090909090909091,11
E07000132,2.393005536948686,1.0,7
E07000133,0.46461974683754736,0.7142857142857143,7
E07000134,0.495868466792319,0.5,8
E07000135,-1.0419603661560113,0.25,4
E07000136,-0.9107860022144973,0.5,4
E07000137,-0.23531233224380857,0.6,5
E07000138,1.514600376656462,1.0,3
E07000139,0.8850299367656596,0.625,8
E07000140,0.495539670483835,0.7142857142857143,7
E07000141,1.068373327864504,0.875,8
E07000142,0.10151419436244849,0.5,8
E07000143,1.7740312810185395,1.0,7
E07000144,1.704037965571302,0.8333333333333334,6
E07000145,-0.23954408098916943,0.2,5
E07000146,1.192582974972545,0.8571428571428571,7
E07000147,2.422826363014122,0.8,5
E07000148,1.4869983831804416,1.0,3
E07000149,0.15893814373454807,0.8571428571428571,7
E07000150,0.7751859305927252,1.0,5
E07000151,2.6440898461002957,1.0,8
E07000152,2.3571868676398924,0.7777777777777778,9
E07000153,1.614309433750494,1.0,6
E07000154,3.662040053221764,1.0,4
E07000155,2.699543770571577,0.875,8
E07000156,1.419320478984993,0.875,8
E07000163,0.2758303836659973,0.375,8
E07000164,-0.3205271260216222,0.5,10
E07000165,-1.5235368766062152,0.875,8
E07000166,-0.8942020578818257,0.375,8
E07000167,-0.9136173714801923,0.8,5
E07000168,0.13557420291308975,0.4,5
E07000169,-0.9254259213936747,1.0,7
E07000170,-0.6713766144176928,0.75,8
E07000171,0.4803854682072031,0.625,8
E07000172,-3.2473430377535952,1.0,6
E07000173,-2.7642423783623733,1.0,5
E07000174,1.3119398935634627,0.6,5
E07000175,-1.379589599157046,0.4,10
E07000176,-0.44071311582427397,0.6666666666666666,9
E07000177,1.0193786950248183,0.875,8
E07000178,2.980562278611059,1.0,4
E07000179,2.2548354510379602,0.625,8
E07000180,0.18400886734228294,0.8888888888888888,9
E07000181,2.312208483820627,1.0,5
E07000187,-0.806824322353848,0.6666666666666666,6
E07000188,-1.7268276591107519,1.0,5
E07000189,-2.770487331700053,0.7142857142857143,7
E07000192,-1.5244546587690018,1.0,5
E07000193,-0.5430837128805136,1.0,6
E07000194,-1.9429810319154224,0.8,10
E07000195,0.19895633872517238,0.3333333333333333,6
E07000196,-4.72020106320027,1.0,10
E07000197,-1.6186010273906588,0.9,10
E07000198,-1.4042681123294811,0.75,8
E07000199,-1.5535444124111786,0.6666666666666666,3
E07000200,0.39775222657672654,0.875,8
E07000202,-0.28601306291288686,0.25,4
E07000203,1.2815677518383486,0.8571428571428571,7
E07000207,0.07878545369914769,0.625,8
E07000208,-0.6484221206154275,0.4,5
E07000209,-0.774463979974673,0.5714285714285714,7
E07000210,1.7446392489935083,0.3333333333333333,9
E07000211,-0.010446712214322196,0.7142857142857143,7
E07000212,-1.0334402844982549,0.5,6
E07000213,0.44948478975139866,0.875,8
E07000214,-0.47933347382274977,0.5,8
E07000215,-0.347887758134894,0.875,8
E07000216,-1.352088248731427,0.5,8
E07000217,-0.5554216718561957,0.8,5
E07000218,0.5836795700218317,0.4444444444444444,9
E07000219,2.9802469832999043,0.8,5
E07000220,0.321340642618265,0.8888888888888888,9
E07000221,1.6755537382161205,0.75,12
E07000222,1.0036590862018042,0.6,5
E07000223,-0.7349198816155692,0.8,5
E07000224,-1.4720665655851792,0.6,5
E07000225,1.1991755705449754,0.16666666666666666,6
E07000226,-1.4659226540406967,0.8333333333333334,6
E07000227,-0.7285437521183423,0.7777777777777778,9
E07000228,-1.7380564871062971,1.0,7
E07000229,0.25935271962468265,0.3333333333333333,3
E07000234,-2.8203441906701503,0.7777777777777778,9
E07000235,-0.822804509856866,0.625,8
E07000236,-0.6043121598315436,0.5,4
E07000237,0.7272332808264218,0.6666666666666666,3
E07000238,0.6935464127735567,0.5555555555555556,9
E07000239,-1.466519901131983,0.8333333333333334,6
E07000240,0.8960953695290634,0.875,8
E07000241,0.28205176833532736,0.8571428571428571,7
E07000242,0.5440256937202703,1.0,8
E07000243,1.3724564326267161,1.0,3
E07000244,0.84655132302241,0.6666666666666666,6
E07000245,1.7496041231283306,1.0,8
E07000246,-1.8257819170996707,1.0,6
E08000001,-1.1287983847012641,0.8333333333333334,6
E08000002,-0.23583323931355754,0.7142857142857143,7
E08000003,-2.1057687984648563,0.6666666666666666,9
E08000004,-0.8382946223122452,1.0,7
E08000005,-1.1052607430339307,0.8333333333333334,6
E08000006,-1.6091544567287304,0.8571428571428571,7
E08000007,1.9374866839274136,0.4,5
E08000008,-0.25718129123326494,0.8,5
E08000009,0.43711380575130254,0.4,5
E08000010,-1.5067757463905906,1.0,7
E08000011,-0.6314572338716595,0.8333333333333334,6
E08000012,1.0346093593265537,0.16666666666666666,6
E08000013,-1.0206596515003623,1.0,6
E08000014,-0.17115541694494957,0.8,5
E08000015,-2.686752728559541,0.75,4
E08000016,0.8254818897134827,0.2857142857142857,7
E08000017,-1.750552055066664,0.625,8
E08000018,2.3056740383841445,0.5714285714285714,7
E08000019,-1.9147182508307554,0.6666666666666666,6
E08000021,0.2157335886237997,0.6,5
E08000022,0.03121374015692613,0.75,4
E08000023,-0.34582939503382765,0.4,5
E08000024,0.4062740671943212,0.5,4
E08000025,-4.630603959205017,0.875,8
E08000026,-0.5919285445119299,0.3333333333333333,6
E08000027,-1.1270076774531967,1.0,6
E08000028,-0.7287503428011045,1.0,5
E08000029,-2.3191546775930765,0.5714285714285714,7
E08000030,-2.867804769124856,1.0,7
E08000031,-3.5114235663934,1.0,5
E08000032,-2.699089070077134,0.8571428571428571,7
E08000033,-2.037761057429911,0.875,8
E08000034,-3.9025064172088815,0.875,8
E08000035,-0.7675953146981037,1.0,6
E08000036,-0.6847300424649164,0.8333333333333334,6
E08000037,-0.7987563163641656,0.3333333333333333,6
E09000001,3.310465928988453,0.875,8
E09000002,2.9218893001392994,0.8333333333333334,6
E09000003,0.5831995398208302,0.5714285714285714,7
E09000004,0.025161876864351923,0.75,8
E09000005,-0.1556645294314649,0.25,8
E09000006,-0.7749169782470549,0.4444444444444444,9
E09000007,-0.6058120439178689,0.2857142857142857,7
E09000008,-1.5839904033840868,0.5714285714285714,7
E09000009,0.8648705267051826,0.8333333333333334,6
E09000010,0.4912496976419668,0.75,8
E09000011,-0.5869896989070673,0.2857142857142857,7
E09000012,0.4689198634895503,0.8571428571428571,7
E09000013,3.2848487460541755,0.7142857142857143,7
E09000014,5.595337700895582,0.7142857142857143,7
E09000015,0.7217883468324893,0.7142857142857143,7
E09000016,0.8091926853559375,0.8571428571428571,7
E09000017,1.8080460451598555,0.875,8
E09000018,1.4609197307110706,1.0,6
E09000019,2.163123564138306,0.8,5
E09000020,1.4274037300155868,0.6,5
E09000021,3.8431963369390254,0.75,8
E09000022,3.59180477591278,0.625,8
E09000023,0.3405570563520921,0.6,5
E09000024,3.896267732313815,0.6666666666666666,6
E09000025,0.3240268113122279,0.7142857142857143,7
E09000026,3.292130143337075,0.8333333333333334,6
E09000027,2.529709114277234,0.8571428571428571,7
E09000028,3.490878721772893,0.8333333333333334,6
E09000029,6.276112709076947,0.5,6
E09000030,3.9763740611031624,0.8571428571428571,7
E09000031,-0.07870069430824381,0.14285714285714285,7
E09000032,-0.5976113815347371,0.125,8
E09000033,2.785468145810017,0.5714285714285714,7
