PRACTICE_CODE,YEAR,POSTCODE,depression,alzheimers,blood pressure,insomnia,social anxiety,ITEMS,depression_perc,depression_perc_trim,depression_perc_trim_zscore,alzheimers_perc,alzheimers_perc_trim,alzheimers_perc_trim_zscore,blood pressure_perc,blood pressure_perc_trim,blood pressure_perc_trim_zscore,insomnia_perc,insomnia_perc_trim,insomnia_perc_trim_zscore,social anxiety_perc,social anxiety_perc_trim,social anxiety_perc_trim_zscore,loneliness_prac,laua,msoa11,lat,long
-,2020,-,4328,146,1980,740,1170,164427,2.632171115449409,2.632171115449409,-2.567877938783548,0.08879320306275733,0.08879320306275733,-0.8527583892997028,1.2041817949606817,4.198644506916692,-3.1808162076660973,0.45004774155096183,0.45004774155096183,-0.05523310866277261,0.7115619697494937,0.7115619697494937,-1.7271007772999487,-8.383786421712069,,,,
04G998,2020,NN36BF,191,7,361,11,48,2541,7.516725698543881,7.516725698543881,0.5567311106899184,0.27548209366391185,0.27548209366391185,0.46221312624448757,14.207005116096026,13.744953852297913,2.921424869022727,0.4329004329004329,0.4329004329004329,-0.12090318542711685,1.8890200708382527,1.8890200708382527,0.24330403819069427,4.06276995872071,E07000154,E02005651,52.276699,-0.873208
04Q998,2020,LN42HN,154,4,320,11,30,2619,5.880106911034746,5.880106911034746,-0.49020035194298256,0.15273004963726614,0.15273004963726614,-0.4024095133249785,12.21840397098129,12.21840397098129,1.945615783609861,0.42000763650248185,0.42000763650248185,-0.17027950135028005,1.145475372279496,1.145475372279496,-1.0009729795800402,-0.11824656258842015,E07000139,E02005453,53.199729000000005,-0.540758
05L998,2020,B709LD,129,0,103,16,35,2647,4.8734416320362675,4.8734416320362675,-1.1341557806397535,0.0,0.0,-1.478186782095214,3.8911975821684925,4.198644506916692,-3.1808162076660973,0.6044578768417076,0.6044578768417076,0.5361206509503004,1.3222516055912354,1.3222516055912354,-0.7051486601756659,-5.96218677962643,E08000028,E02002059,52.52334499999999,-2.0026330000000003
07J998,2020,PE305NU,188,1,310,13,43,2846,6.605762473647224,6.605762473647224,-0.02600450784551153,0.035137034434293744,0.035137034434293744,-1.2306937509190679,10.892480674631061,10.892480674631061,1.0980522581892516,0.4567814476458187,0.4567814476458187,-0.029444630414080117,1.510892480674631,1.510892480674631,-0.3894695813880698,-0.5775602123774778,E07000146,E02005559,52.749129,0.41014700000000004
A81001,2020,TS181HU,7505,400,8194,195,1515,100585,7.461351096087886,7.461351096087886,0.5213084368305995,0.39767360938509716,0.39767360938509716,1.3228875996806437,8.146343888253716,8.146343888253716,-0.6573474563764496,0.19386588457523488,0.19386588457523488,-1.0363481370383363,1.5061887955460556,1.5061887955460556,-0.3973409135563457,-0.24684047045988855,E06000004,E02002548,54.561625,-1.318986
A81002,2020,TS182AW,37623,1237,41027,538,10083,456068,8.249427716919406,8.249427716919406,1.02543451408873,0.27123148302446126,0.27123148302446126,0.4322733055269926,8.995807642719946,8.995807642719946,-0.11434885575283486,0.11796486488856925,0.11796486488856925,-1.3270308261355306,2.2108545216941335,2.2108545216941335,0.7818744987198977,0.7982026364472546,E06000004,E02002548,54.569163,-1.31388
A81004,2020,TS58SB,15866,491,17687,1193,4742,216305,7.3350130602621295,7.3350130602621295,0.44049104328562366,0.22699429046947597,0.22699429046947597,0.12068193043158858,8.176879868703914,8.176879868703914,-0.6378280895218316,0.5515360255195211,0.5515360255195211,0.3334426616710907,2.1922747971614154,2.1922747971614154,0.7507824550574473,1.0075700009239186,E06000002,E02002510,54.538198,-1.262142
A81005,2020,TS147DJ,12631,509,20769,306,4185,198818,6.3530465048436255,6.3530465048436255,-0.18766481681270603,0.25601303704895934,0.25601303704895934,0.3250798731583426,10.446237262219718,10.446237262219718,0.8128022434559874,0.1539096057701013,0.1539096057701013,-1.1893710953245469,2.1049401965616794,2.1049401965616794,0.6046332906654825,0.3654794951425596,E06000003,E02002532,54.532596999999996,-1.055444
A81006,2020,TS182AT,32640,732,32561,165,10295,362202,9.011546043368066,9.011546043368066,1.51295528575394,0.20209717229612206,0.20209717229612206,-0.05468469750045149,8.989735009745942,8.989735009745942,-0.11823063551053237,0.04555469047658489,0.04555469047658489,-1.6043444156362299,2.8423365967057057,2.8423365967057057,1.838621503431388,1.5743170405381142,E06000004,E02002548,54.568616000000006,-1.313593
