lad20cd,loneliness,LISA_score,LISA_support
E09000029,7.063017969467637,0.5,6
E06000016,5.9443706532623715,0.6,5
E09000014,5.749495590128834,0.7142857142857143,7
E07000073,5.333229731752851,1.0,3
E07000095,5.056416702489471,1.0,5
E07000092,4.285564986871044,0.4,5
E07000070,4.005495396280515,0.875,8
E09000024,3.9808389934270076,0.6666666666666666,6
E09000002,3.9376229591652723,0.8333333333333334,6
E09000030,3.837601677608399,0.8571428571428571,7
E09000022,3.6995630833726305,0.625,8
E09000026,3.651848018465227,0.8333333333333334,6
E09000001,3.6089098573838534,0.875,8
E07000154,3.6029911877148257,1.0,4
E09000021,3.378502315329968,0.625,8
E07000077,3.2839571783454464,0.8571428571428571,7
E09000013,3.2803056277914573,0.7142857142857143,7
E07000082,3.152267108812718,0.5,6
E09000028,2.96490876802903,0.8333333333333334,6
E09000019,2.9014308438441465,0.8,5
E06000008,2.8946414388959716,0.625,8
E07000072,2.7654535145694674,0.8181818181818182,11
E07000124,2.755508760816517,0.4,10
E09000033,2.7483977838300513,0.5714285714285714,7
E07000151,2.7284540587807684,1.0,8
E06000031,2.6825494807295973,0.6666666666666666,6
E07000152,2.673354863843231,0.7777777777777778,9
E07000111,2.6664616960012104,0.4444444444444444,9
E09000027,2.6308518713401816,0.7142857142857143,7
E07000219,2.6029422948053247,0.8,5
E06000056,2.5700188756653453,0.6,10
E07000074,2.5478603121417875,1.0,5
E07000099,2.508933965935114,0.7777777777777778,9
E07000147,2.5068615046231812,0.8,5
E07000181,2.500831676772367,1.0,5
E06000039,2.4519970997193106,1.0,5
E07000079,2.419746591374965,0.7272727272727273,11
E08000007,2.3887000824190765,0.4,5
E07000066,2.3408430932961375,0.8333333333333334,6
E07000113,2.3028423238281674,0.6,5
E07000110,2.2506163063237135,0.5,6
E07000132,2.2061099019016983,0.7142857142857143,7
E07000155,2.189605043565194,1.0,8
E07000245,2.1583073627002163,0.875,8
E06000003,2.14465985981143,0.6666666666666666,6
E07000103,2.0925819380835637,0.75,4
E07000028,2.0821625937879764,1.0,4
E07000210,2.081168332995658,0.2222222222222222,9
E07000179,2.0625607546502756,0.75,8
E07000178,2.0565323254804575,1.0,4
E06000033,2.0110000202758256,1.0,3
E07000143,2.0054994356318536,1.0,7
E07000062,1.9089790321920042,1.0,2
E08000018,1.905171284452838,0.42857142857142855,7
E07000027,1.8788956520222224,1.0,3
E07000026,1.8603680599351335,1.0,5
E07000029,1.8442835073419972,1.0,4
E07000008,1.795447890949176,0.5,2
E07000148,1.7875844320528183,1.0,3
E06000034,1.7517850432077147,0.8888888888888888,9
E07000153,1.7047012732784093,1.0,6
E07000221,1.6748588620941887,0.75,12
E07000146,1.588100418444955,0.8571428571428571,7
E07000222,1.5818715660988067,0.6,5
E07000069,1.5471436654372848,1.0,6
E07000009,1.5394215076933373,0.5,6
E09000017,1.5366881450369143,1.0,8
E07000089,1.528487187133261,0.5,8
E07000144,1.52264812470832,0.8333333333333334,6
E07000071,1.505342103248478,1.0,5
E07000203,1.4474546141167572,0.8571428571428571,7
E07000031,1.421515750319306,0.625,8
E07000126,1.4193804455299954,0.42857142857142855,7
E07000177,1.39662728519801,1.0,8
E07000243,1.390812722074199,1.0,3
E07000064,1.3677299084182226,0.3333333333333333,6
E07000096,1.322140983421908,1.0,5
E07000075,1.258956392057052,1.0,6
E06000010,1.2206482547544169,0.5,2
E07000107,1.213092682920221,1.0,5
E07000083,1.1765340157992237,0.625,8
E06000005,1.1622808388277908,0.6,5
E07000084,1.1430384484499228,0.42857142857142855,7
E07000041,1.118855237964074,0.3333333333333333,3
E09000020,1.1115383032093287,0.6,5
E07000156,1.110814559987725,0.875,8
E07000138,1.0372597626689224,0.6666666666666666,3
E07000237,0.9953362999957232,0.6666666666666666,3
E07000141,0.9870409718510902,0.875,8
E07000131,0.9730035718691439,0.8181818181818182,11
E06000017,0.9710001685106315,1.0,6
E07000076,0.9580793042516103,1.0,3
E07000067,0.9566656091424405,0.875,8
E06000038,0.9510468353773585,0.5,4
E07000225,0.940614094359228,0.16666666666666666,6
E08000009,0.9391294088797552,0.4,5
E07000034,0.9299159177644334,0.3333333333333333,3
E07000102,0.9238445182866136,0.875,8
E08000016,0.8928195745022894,0.2857142857142857,7
E09000015,0.884800350454356,0.7142857142857143,7
E09000025,0.8764603694840405,0.7142857142857143,7
E07000129,0.8600473406271718,0.7142857142857143,7
E07000244,0.8572985296714375,0.6666666666666666,6
E07000078,0.8496200577177454,1.0,3
E06000047,0.8415749008245911,0.6666666666666666,9
E09000003,0.8339393714718951,0.5714285714285714,7
E07000240,0.793791338168462,0.875,8
E07000030,0.7064826675894749,0.8571428571428571,7
E09000023,0.6816896094903775,0.6,5
E09000012,0.6724304739070963,0.8571428571428571,7
E08000012,0.6556185569037798,0.16666666666666666,6
E09000016,0.6436665563994357,0.8571428571428571,7
E08000028,0.6420533021496566,0.2,5
E07000150,0.6284864934897681,1.0,5
E07000139,0.579318563390576,0.5,8
E06000053,0.5692054075158249,1.0,1
E09000018,0.560685573901194,1.0,6
E07000174,0.5300266753839502,0.4,5
E09000009,0.5282224165467511,0.8333333333333334,6
E06000040,0.5061591517934497,0.625,8
E06000002,0.5054493376895045,0.75,4
E07000109,0.5039866244840334,0.8333333333333334,6
E07000238,0.4979503267861611,0.5555555555555556,9
E06000036,0.49719599518042423,0.6,5
E06000059,0.4762825255659457,0.16666666666666666,6
E07000133,0.4569168717950318,0.7142857142857143,7
E08000024,0.4426759384195811,0.5,4
E07000218,0.43902113932605635,0.3333333333333333,9
E08000021,0.3821660711424835,0.6,5
E07000171,0.3694477995753187,0.375,8
E07000125,0.36287842291669187,0.42857142857142855,7
E07000229,0.32202649314119625,0.3333333333333333,3
E07000128,0.3190686004512824,0.3333333333333333,6
E06000057,0.3052775001949687,0.8571428571428571,7
E06000035,0.29875771674718954,0.8571428571428571,7
E09000010,0.2935556927179327,0.75,8
E07000180,0.271575693053378,0.6666666666666666,9
E07000200,0.2641811916215342,0.875,8
E06000052,0.26358443618169425,0.2,5
E07000220,0.25886550968874583,0.8888888888888888,9
E07000140,0.2522353657027159,0.7142857142857143,7
E07000094,0.23117453776473756,0.25,8
E08000002,0.19858530603747626,0.42857142857142855,7
E07000149,0.19100686572294473,0.8571428571428571,7
E06000042,0.1526308646772207,0.8333333333333334,6
E09000004,0.15067547794561498,0.75,8
E07000241,0.12659758802594298,0.8571428571428571,7
E06000049,0.1118818810630442,0.3,10
E07000213,0.11006996022643548,0.75,8
E07000242,0.10484560202328123,1.0,8
E07000061,0.06819491318233073,0.5,2
E08000013,0.06781316470495921,0.16666666666666666,6
E07000176,0.05444910062403731,0.2222222222222222,9
E06000020,0.04358171872597047,0.25,4
E06000060,0.03421744798354215,0.9166666666666666,12
E07000168,0.020031016985971678,0.4,5
E06000004,0.013464647667028762,0.7142857142857143,7
E08000022,0.003231774653111419,0.75,4
E07000081,-0.004355811241134849,0.3333333333333333,3
E06000054,-0.009908914865679103,0.75,12
E07000065,-0.013785038377675918,0.625,8
E07000202,-0.06033916031142372,0.25,4
E07000134,-0.08185188950332334,0.625,8
E07000011,-0.09251736221013063,0.5,8
E07000012,-0.09389293550448896,0.2222222222222222,9
E07000137,-0.1168119712234703,0.8,5
E07000142,-0.11695965825953067,0.625,8
E08000008,-0.12028384004174875,0.8,5
E07000116,-0.12266380818514766,0.5714285714285714,7
E07000164,-0.12515028374341927,0.5,10
E07000038,-0.12993122945649074,0.7142857142857143,7
E07000211,-0.1496395537696853,0.7142857142857143,7
E07000122,-0.15451769853198066,0.8333333333333334,6
E07000145,-0.15489241496385037,0.2,5
E07000130,-0.16077809637737311,0.25,8
E07000033,-0.17767186086475537,0.5,8
E09000031,-0.17985011858506644,0.14285714285714285,7
E07000010,-0.22112611398392168,0.3333333333333333,6
E06000022,-0.22891142794381625,1.0,6
E07000195,-0.23032811976142578,0.8333333333333334,6
E07000087,-0.28163907042467723,0.8,5
E08000023,-0.30890105087713715,0.4,5
E07000115,-0.3090123610552306,0.3333333333333333,6
E07000236,-0.3253426333783286,0.5,4
E07000207,-0.35900773363293714,0.5,8
E06000021,-0.38081315390069814,1.0,4
E09000011,-0.391137352794255,0.2857142857142857,7
E07000123,-0.4750911539515591,0.4,5
E07000035,-0.4765967274469367,1.0,8
E07000217,-0.4773838824579107,1.0,5
E09000007,-0.48013017078878895,0.2857142857142857,7
E07000215,-0.4861181509028678,0.875,8
E07000037,-0.5047043274199469,0.7,10
E07000163,-0.5059909449286019,0.75,8
E06000014,-0.5199943893799386,1.0,6
E07000114,-0.526715711655955,1.0,3
E06000001,-0.5500762691416464,0.25,4
E06000024,-0.5647003820844125,1.0,5
E06000007,-0.5870194401238565,0.625,8
E08000026,-0.5919285445119299,0.3333333333333333,6
E06000045,-0.5981017105491643,1.0,4
E07000119,-0.6014592134163592,0.6666666666666666,6
E06000051,-0.6037479229269149,0.8,10
E08000036,-0.6208082389766052,0.8333333333333334,6
E07000047,-0.6360441334186318,0.8333333333333334,6
E07000227,-0.661607896075629,0.7777777777777778,9
E08000014,-0.6791414605867733,0.8,5
E07000209,-0.6907691379525965,0.7142857142857143,7
E07000118,-0.7094301537777312,0.6666666666666666,6
E07000199,-0.7187451059150277,0.6666666666666666,3
E09000032,-0.7503086405836285,0.125,8
E06000030,-0.7627620532637149,0.5,4
E06000013,-0.7646312120970556,0.8333333333333334,6
