PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2020,12,-,365,11,116,118,8,67,60,131,87,10537
A81001,2020,12,TS181HU,680,32,776,790,203,590,30,0,147,9060
A81002,2020,12,TS182AW,3211,100,3572,3593,714,2807,44,0,865,38710
A81004,2020,12,TS58SB,1442,48,1548,1560,396,1444,92,0,429,18692
A81005,2020,12,TS147DJ,1144,35,1751,1760,323,1443,31,0,394,16860
A81006,2020,12,TS182AT,2840,69,2805,2821,566,2471,13,0,897,31328
A81007,2020,12,TS247PW,1655,28,1251,1274,276,1011,12,0,503,17469
A81009,2020,12,TS56HF,1275,33,1589,1599,383,1199,53,0,404,15988
A81011,2020,12,TS247PW,2165,31,2554,2557,400,1816,78,0,622,27048
A81012,2020,12,TS36AL,1607,14,1127,1137,337,848,19,0,367,14144
A81013,2020,12,TS122FF,1695,17,1558,1585,372,1065,45,0,439,16521
A81014,2020,12,TS232LA,496,24,939,951,177,1017,15,1,136,9784
A81016,2020,12,TS13QY,1292,29,1551,1561,412,1296,53,0,358,17989
A81017,2020,12,TS170EE,2489,68,3368,3393,676,2644,85,0,708,32899
A81018,2020,12,TS104NW,2124,32,2316,2331,619,1844,105,0,597,25007
A81019,2020,12,TS37RL,1909,22,1570,1584,413,1455,51,0,522,19968
A81020,2020,12,TS43BU,1364,44,1658,1672,375,1262,91,0,376,18436
A81021,2020,12,TS66TD,2642,68,2936,3008,795,2528,160,0,703,32826
A81022,2020,12,TS122TG,2086,25,2237,2255,443,1537,66,0,591,21483
A81023,2020,12,TS12NX,1272,18,1039,1051,222,635,46,0,325,12882
A81025,2020,12,TS181HU,661,35,800,801,171,682,40,0,191,8833
A81026,2020,12,TS56HA,3609,49,2712,2749,675,2183,91,0,1356,35740
A81027,2020,12,TS159DD,1919,83,2214,2250,322,1753,32,0,602,23040
A81029,2020,12,TS12NX,1295,20,1358,1384,359,1074,43,0,230,14987
A81030,2020,12,TS13RY,2179,100,2635,2653,556,1829,130,0,611,27829
A81031,2020,12,TS247PW,2168,36,1778,1794,370,1529,14,0,533,23373
A81032,2020,12,TS147DJ,2054,49,2111,2125,390,1648,100,0,603,24570
A81034,2020,12,TS170EE,3259,61,3494,3504,683,2650,49,0,1069,39997
A81035,2020,12,TS13RX,1466,22,1493,1520,317,1141,66,1,461,18295
A81036,2020,12,TS202UZ,3082,87,3445,3465,608,2720,75,2,968,36844
A81037,2020,12,TS12NX,1115,23,1151,1157,381,1018,78,0,304,14091
A81038,2020,12,TS36AL,630,7,673,682,277,593,56,0,206,8946
A81039,2020,12,TS169EA,1477,49,2024,2044,359,1397,29,0,504,18577
A81040,2020,12,TS232DG,1459,43,1164,1179,232,1034,46,0,439,15793
A81041,2020,12,TS249DN,1491,47,1563,1566,326,1113,23,0,571,16590
A81042,2020,12,TS69QG,3321,51,3137,3161,743,2791,144,2,882,33849
A81043,2020,12,TS60HA,2181,27,1641,1665,367,1215,117,1,637,20527
A81044,2020,12,TS251QU,3456,114,3926,3938,847,3232,22,0,1056,42012
A81045,2020,12,TS101SR,1574,39,1567,1570,306,1247,52,0,372,17598
A81046,2020,12,TS181YE,2143,62,1994,2018,402,1585,80,0,560,23369
A81048,2020,12,TS117BL,1343,74,2099,2120,321,1768,18,0,397,19328
A81049,2020,12,TS36AL,1479,23,1169,1175,375,1279,96,0,450,16444
A81051,2020,12,TS55NN,925,18,1071,1078,252,985,25,0,284,12127
A81052,2020,12,TS104NW,1827,36,2136,2162,382,1504,132,0,506,22481
A81053,2020,12,TS134HW,1543,30,1754,1806,309,1301,120,0,279,18465
A81054,2020,12,TS101UA,1895,31,1940,1957,393,1581,87,0,536,20888
A81056,2020,12,TS232JW,322,9,723,725,129,372,6,0,96,4722
A81057,2020,12,TS232LS,1722,33,1400,1417,336,1197,21,0,445,19151
A81058,2020,12,TS80TL,1641,26,1521,1549,291,962,74,0,444,17540
