PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2017,11,-,8331,337,14161,14333,3403,10464,599,413,1753,150038
03A998,2017,11,HD21GZ,347,13,480,483,95,322,23,0,71,5349
06N998,2017,11,AL86JL,96,1,179,179,73,112,4,0,19,2214
A81001,2017,11,TS181HU,581,38,594,596,134,388,40,0,136,8481
A81002,2017,11,TS182AW,2726,107,3304,3326,652,2570,58,0,690,39814
A81004,2017,11,TS58SB,1044,30,1327,1340,306,1075,153,0,270,16673
A81005,2017,11,TS147DJ,923,36,1645,1651,245,1278,39,0,292,16074
A81006,2017,11,TS182AT,2193,60,2451,2476,551,2118,24,0,667,28695
A81007,2017,11,TS247PW,1354,37,1215,1245,250,971,13,0,330,17772
A81009,2017,11,TS56HF,1251,23,1423,1435,350,1067,78,0,301,17495
A81011,2017,11,TS247PW,1693,32,1709,1711,282,1271,37,0,455,23301
A81012,2017,11,TS36AL,1226,15,1070,1077,269,854,30,1,260,13878
A81013,2017,11,TS122FF,1102,14,1145,1158,218,770,30,0,296,13117
A81014,2017,11,TS232LA,434,30,881,894,132,837,17,2,105,8958
A81015,2017,11,TS101TZ,447,11,586,606,89,476,11,0,95,6867
A81016,2017,11,TS13QY,1080,16,1445,1454,351,1191,62,1,276,17884
A81017,2017,11,TS170EE,2385,66,2983,3007,621,2432,66,0,574,33170
A81018,2017,11,TS104NW,1594,22,2051,2070,506,1641,83,0,360,23459
A81019,2017,11,TS37RL,1676,35,1453,1480,344,1218,71,0,417,20454
A81020,2017,11,TS43BU,1091,29,1445,1461,299,1003,92,0,272,16767
A81021,2017,11,TS66TD,1951,58,2440,2500,549,2168,160,0,422,30255
A81022,2017,11,TS122TG,1688,16,1984,2013,377,1396,91,0,454,22576
A81023,2017,11,TS12NX,962,8,606,624,149,366,89,0,229,10249
A81025,2017,11,TS181HU,504,21,680,681,148,612,33,0,85,7894
A81026,2017,11,TS56HA,2017,54,1696,1736,409,1352,104,0,660,27547
A81027,2017,11,TS159DD,1430,83,1887,1923,272,1470,26,0,318,21046
A81029,2017,11,TS12NX,950,30,976,1004,253,767,34,0,112,12503
A81030,2017,11,TS13RY,1485,40,1596,1621,352,1201,109,3,400,22663
A81031,2017,11,TS247PW,1605,48,1545,1569,307,1171,13,0,342,22520
A81032,2017,11,TS147DJ,1391,39,1602,1613,297,1154,100,0,345,20600
A81033,2017,11,TS36AL,676,10,675,689,178,581,89,0,238,8348
A81034,2017,11,TS170EE,2598,66,2933,2955,614,2197,53,0,742,37841
A81035,2017,11,TS13RX,1278,24,1350,1382,308,971,71,0,307,18079
A81036,2017,11,TS202UZ,2267,67,2900,2913,521,2206,90,13,597,32941
A81037,2017,11,TS12NX,954,23,1070,1093,304,929,76,0,216,15447
A81038,2017,11,TS36AL,420,14,600,613,232,489,60,0,133,8154
A81039,2017,11,TS169EA,1010,27,1570,1583,284,1104,26,0,324,16315
A81040,2017,11,TS232DG,1332,40,1210,1231,229,1003,57,0,336,16573
A81041,2017,11,TS249DN,1103,39,1335,1339,279,929,21,0,373,15147
A81042,2017,11,TS69QG,1996,35,2400,2420,516,2096,172,2,345,27637
A81043,2017,11,TS60HA,1715,21,1568,1618,337,1201,77,0,480,20147
A81044,2017,11,TS251QU,2823,103,3691,3725,749,3156,43,4,705,43135
A81045,2017,11,TS101SR,1638,34,1627,1637,303,1281,88,0,307,21093
A81046,2017,11,TS181YE,1798,57,1709,1754,352,1239,94,0,336,23794
A81048,2017,11,TS117BL,1320,55,2387,2417,401,1942,17,0,289,22899
A81049,2017,11,TS36AL,989,24,1058,1066,342,1091,96,0,162,14901
A81051,2017,11,TS55NN,921,33,1059,1076,189,957,39,0,245,14697
A81052,2017,11,TS104NW,1405,34,1848,1864,354,1321,100,0,348,21341
A81053,2017,11,TS134HW,1262,37,1621,1682,284,1231,173,0,170,18815
A81054,2017,11,TS101UA,1495,43,1749,1762,339,1334,64,0,329,19714
A81056,2017,11,TS232JW,245,13,598,600,127,329,4,0,54,5265
A81057,2017,11,TS232LS,1433,28,1279,1294,299,1005,18,7,302,16792
A81058,2017,11,TS80TL,1249,35,1095,1114,208,701,70,0,233,15200
A81060,2017,11,TS268DB,520,16,450,454,116,414,61,0,123,9223
A81063,2017,11,TS240NZ,610,24,1183,1195,189,840,0,0,156,10151
A81064,2017,11,TS12NX,914,16,633,639,134,497,47,0,222,10366
A81065,2017,11,TS66TD,786,23,807,813,245,645,33,0,168,9516
A81066,2017,11,TS211JS,540,17,1007,1020,147,696,20,0,76,8642
A81067,2017,11,TS182BP,1491,22,1190,1195,342,1080,66,0,368,19317
A81070,2017,11,TS253DQ,480,6,541,543,126,395,9,0,90,6595
A81602,2017,11,TS232DG,324,14,727,750,84,547,9,0,96,6320
A81608,2017,11,TS176NP,619,13,890,893,172,633,8,0,127,9137
A81610,2017,11,TS232DG,1034,25,1300,1321,245,993,22,11,242,14575
A81611,2017,11,TS80TL,900,27,880,905,186,647,78,0,253,11160
A81612,2017,11,TS251AX,270,27,573,580,92,448,7,0,50,5603
A81618,2017,11,TS121BJ,1493,47,1743,1783,295,1229,108,0,441,21806
A81621,2017,11,TS39NB,392,0,265,273,99,263,28,0,89,4691
A81622,2017,11,TS268DF,781,27,809,811,121,667,4,0,181,9626
A81629,2017,11,TS182AP,755,18,791,793,210,636,20,0,149,9750
A81631,2017,11,TS249LJ,684,12,896,904,150,699,7,0,153,10858
A81632,2017,11,TS181HU,625,0,15,15,6,25,4,0,143,2006
A82003,2017,11,LA127BT,1004,40,1317,1333,265,949,101,0,273,17139
A82004,2017,11,CA93QX,256,16,569,574,88,387,15,0,52,4816
A82005,2017,11,LA229BP,531,27,1031,1044,135,733,51,3,115,10483
A82006,2017,11,CA166QR,436,20,958,975,153,628,19,0,66,8982
A82007,2017,11,LA141LF,1573,45,1473,1519,279,977,176,31,332,20665
A82008,2017,11,LA145ES,1758,48,1935,1991,395,1266,109,4,400,23273
A82009,2017,11,LA139SH,1449,60,2103,2156,413,1428,30,62,258,20528
A82010,2017,11,LA145JY,854,34,1125,1168,240,811,58,7,206,12915
A82012,2017,11,CA81NL,2392,107,3858,3877,604,2918,118,19,422,39377
