PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2019,09,-,403,11,229,230,56,188,51,192,126,16559
04Q998,2019,09,LN42HN,100,3,165,165,28,117,7,0,15,1362
A81001,2019,09,TS181HU,549,37,596,600,138,386,16,0,121,7612
A81002,2019,09,TS182AW,2839,75,3253,3264,648,2511,35,0,783,36383
A81004,2019,09,TS58SB,1204,38,1360,1371,370,1249,86,0,372,17281
A81005,2019,09,TS147DJ,883,42,1458,1465,245,1222,32,0,283,15595
A81006,2019,09,TS182AT,2496,65,2504,2527,512,2204,19,0,802,28771
A81007,2019,09,TS247PW,1456,24,1251,1276,235,975,3,0,388,16964
A81009,2019,09,TS56HF,1120,16,1480,1492,320,1081,48,0,320,15586
A81011,2019,09,TS247PW,1764,30,1738,1743,276,1286,31,0,560,22584
A81012,2019,09,TS36AL,1213,11,908,916,266,689,16,0,322,11473
A81013,2019,09,TS122FF,1286,16,1317,1338,284,880,38,0,337,14313
A81014,2019,09,TS232LA,407,31,824,838,166,900,22,1,101,8965
A81016,2019,09,TS13QY,1147,29,1478,1483,385,1256,62,0,342,17884
A81017,2019,09,TS170EE,2072,66,2862,2889,542,2279,68,0,561,29339
A81018,2019,09,TS104NW,1729,28,2040,2053,540,1617,86,0,486,23023
A81019,2019,09,TS37RL,1742,29,1371,1395,339,1248,55,0,496,19599
A81020,2019,09,TS43BU,1171,48,1439,1453,344,1089,59,0,354,17008
A81021,2019,09,TS66TD,2278,53,2715,2782,693,2401,171,0,574,32338
A81022,2019,09,TS122TG,1785,21,1943,1961,370,1372,79,0,488,20921
A81023,2019,09,TS12NX,932,8,626,638,146,396,48,0,223,9715
A81025,2019,09,TS181HU,553,30,699,700,161,615,37,0,155,8200
A81026,2019,09,TS56HA,3174,43,2554,2595,650,1959,103,0,1207,36204
A81027,2019,09,TS159DD,1533,85,1916,1943,277,1525,27,0,425,21478
A81029,2019,09,TS12NX,1113,19,994,1013,279,823,41,0,174,12616
A81030,2019,09,TS13RY,1522,59,1637,1652,390,1233,102,0,427,21141
A81031,2019,09,TS247PW,1866,37,1642,1663,332,1391,12,0,479,22425
A81032,2019,09,TS147DJ,1649,48,1824,1832,346,1369,91,0,485,22189
A81034,2019,09,TS170EE,2638,66,2926,2949,604,2241,49,0,793,34956
A81035,2019,09,TS13RX,1326,17,1353,1384,280,1023,59,4,384,17418
A81036,2019,09,TS202UZ,2721,102,3164,3187,567,2478,86,5,829,35657
A81037,2019,09,TS12NX,968,13,1070,1085,335,896,81,0,254,13551
A81038,2019,09,TS36AL,451,13,583,588,229,470,51,0,159,7289
A81039,2019,09,TS169EA,1195,41,1618,1632,306,1174,18,0,396,16764
A81040,2019,09,TS232DG,1316,31,1116,1132,237,956,46,0,389,15024
A81041,2019,09,TS249DN,1321,35,1370,1374,284,980,31,0,493,15413
A81042,2019,09,TS69QG,2622,60,2911,2935,638,2479,145,2,587,32176
A81043,2019,09,TS60HA,1853,31,1608,1643,301,1164,114,0,551,20016
A81044,2019,09,TS251QU,3011,76,3521,3538,758,3073,29,0,916,39340
A81045,2019,09,TS101SR,1515,34,1521,1524,290,1185,70,0,337,17969
A81046,2019,09,TS181YE,1766,58,1766,1790,356,1362,52,0,408,21857
A81048,2019,09,TS117BL,1204,64,2054,2070,328,1703,13,0,336,19462
A81049,2019,09,TS36AL,1183,13,1032,1035,313,1055,84,0,304,13394
