PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2017,10,-,6753,258,11310,11465,2901,8456,569,1537,1437,126726
A81001,2017,10,TS181HU,521,28,502,506,127,350,42,0,122,7693
A81002,2017,10,TS182AW,2606,96,3364,3388,671,2489,48,0,677,39732
A81004,2017,10,TS58SB,1125,27,1305,1315,319,1099,166,0,304,17564
A81005,2017,10,TS147DJ,951,57,1575,1584,247,1312,44,0,306,16849
A81006,2017,10,TS182AT,2118,64,2451,2476,563,2167,16,0,676,28752
A81007,2017,10,TS247PW,1366,34,1249,1275,263,988,12,0,320,18190
A81009,2017,10,TS56HF,1243,27,1470,1483,353,1092,77,0,299,18144
A81011,2017,10,TS247PW,1634,35,1708,1713,288,1232,41,2,455,23653
A81012,2017,10,TS36AL,1208,15,1081,1086,257,817,28,0,249,14067
A81013,2017,10,TS122FF,1144,17,1146,1155,233,796,40,0,312,14159
A81014,2017,10,TS232LA,403,29,840,853,130,838,12,1,89,9127
A81015,2017,10,TS101TZ,439,12,592,608,98,466,10,1,98,6568
A81016,2017,10,TS13QY,988,14,1387,1390,340,1139,68,1,256,17613
A81017,2017,10,TS170EE,2330,77,3078,3110,631,2515,72,0,543,35274
A81018,2017,10,TS104NW,1546,25,2145,2169,490,1644,77,0,352,23473
A81019,2017,10,TS37RL,1694,35,1481,1503,340,1205,74,0,445,21078
A81020,2017,10,TS43BU,1102,30,1539,1557,299,1073,86,0,284,17986
A81021,2017,10,TS66TD,1800,58,2289,2345,507,1943,139,0,385,30372
A81022,2017,10,TS122TG,1704,16,1919,1948,360,1331,83,0,468,23229
A81023,2017,10,TS12NX,885,7,566,580,149,372,88,0,187,10121
A81025,2017,10,TS181HU,486,29,635,637,136,562,34,0,82,7874
A81026,2017,10,TS56HA,2029,53,1687,1729,417,1314,117,0,666,28171
A81027,2017,10,TS159DD,1493,74,1963,1990,292,1484,33,0,335,21993
A81029,2017,10,TS12NX,976,32,949,975,226,761,28,0,124,12300
A81030,2017,10,TS13RY,1462,44,1616,1636,379,1122,100,3,424,23464
A81031,2017,10,TS247PW,1556,40,1552,1573,308,1172,12,0,343,23174
A81032,2017,10,TS147DJ,1420,29,1711,1718,308,1247,91,0,369,22782
