PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2019,06,-,497,18,193,197,33,123,60,172,181,17476
02R998,2019,06,BD57JR,220,12,394,394,37,287,8,0,56,4488
04Q998,2019,06,LN42HN,111,3,244,244,32,170,7,0,22,2035
06T998,2019,06,CO45JR,82,0,231,232,15,159,6,0,19,1230
99K998,2019,06,BN72PB,121,10,256,256,27,176,10,0,22,2175
A81001,2019,06,TS181HU,588,36,576,578,138,399,44,0,120,7747
A81002,2019,06,TS182AW,2973,94,3265,3283,652,2570,37,0,824,36567
A81004,2019,06,TS58SB,1209,40,1519,1533,382,1323,107,0,344,17854
A81005,2019,06,TS147DJ,956,40,1552,1559,260,1268,37,0,316,15348
A81006,2019,06,TS182AT,2522,71,2555,2573,529,2233,9,0,822,29224
A81007,2019,06,TS247PW,1594,25,1297,1319,268,1013,4,0,446,17161
A81009,2019,06,TS56HF,1167,26,1454,1470,351,1067,68,0,333,15562
A81011,2019,06,TS247PW,1826,28,1840,1849,292,1354,39,0,572,23203
A81012,2019,06,TS36AL,1544,30,1175,1182,304,865,33,0,378,14173
A81013,2019,06,TS122FF,1340,16,1232,1248,270,836,39,0,388,13735
A81014,2019,06,TS232LA,432,28,887,897,164,953,17,1,117,8724
A81016,2019,06,TS13QY,1141,28,1468,1473,375,1239,49,1,354,17942
A81017,2019,06,TS170EE,2309,66,2935,2960,615,2398,46,0,632,30736
A81018,2019,06,TS104NW,1630,33,1953,1969,526,1598,77,0,469,22460
A81019,2019,06,TS37RL,1725,36,1470,1485,374,1314,55,0,473,20033
A81020,2019,06,TS43BU,1152,41,1429,1446,348,1105,54,0,375,16936
A81021,2019,06,TS66TD,2264,54,2573,2635,688,2283,160,1,623,30332
A81022,2019,06,TS122TG,1675,22,1819,1837,374,1259,74,0,460,18864
A81023,2019,06,TS12NX,988,9,603,616,169,412,60,0,217,10160
A81025,2019,06,TS181HU,500,22,689,690,152,584,29,0,135,7640
A81026,2019,06,TS56HA,3041,45,2507,2551,634,1946,119,0,1185,35147
A81027,2019,06,TS159DD,1559,87,1958,1987,274,1503,27,0,420,21336
A81029,2019,06,TS12NX,1145,20,1076,1095,288,842,35,0,174,13290
A81030,2019,06,TS13RY,1581,50,1780,1791,386,1295,90,0,439,22080
A81031,2019,06,TS247PW,1898,36,1619,1630,310,1390,15,0,506,22207
A81032,2019,06,TS147DJ,1716,50,1856,1867,369,1412,96,0,501,21911
A81034,2019,06,TS170EE,2826,82,2952,2972,629,2287,43,0,860,36578
A81035,2019,06,TS13RX,1330,25,1357,1389,327,1023,51,0,370,17468
A81036,2019,06,TS202UZ,2792,87,3081,3105,558,2442,82,4,815,34970
A81037,2019,06,TS12NX,941,16,1047,1058,341,909,70,0,245,13405
A81038,2019,06,TS36AL,513,14,653,665,256,493,50,0,184,7815
A81039,2019,06,TS169EA,1114,41,1650,1667,283,1147,17,0,366,16092
A81040,2019,06,TS232DG,1351,30,1110,1133,229,966,54,0,395,15029
A81041,2019,06,TS249DN,1253,36,1408,1414,276,1009,30,0,477,14985
A81042,2019,06,TS69QG,2655,50,2755,2775,590,2308,164,1,614,29943
A81043,2019,06,TS60HA,1764,27,1477,1508,286,1116,105,0,526,18363
A81044,2019,06,TS251QU,2879,82,3554,3575,791,3078,19,0,818,38626
A81045,2019,06,TS101SR,1436,30,1449,1453,299,1173,75,0,318,17495
A81046,2019,06,TS181YE,1804,61,1732,1753,364,1368,50,0,378,22299
A81048,2019,06,TS117BL,1197,65,2023,2044,311,1647,8,0,308,18288
A81049,2019,06,TS36AL,1178,19,1058,1064,314,1055,82,0,280,13861
A81051,2019,06,TS55NN,908,13,1025,1033,206,885,30,0,316,12291
A81052,2019,06,TS104NW,1448,38,1841,1861,355,1320,111,0,384,20204
A81053,2019,06,TS134HW,1492,33,1652,1707,331,1251,165,0,243,19308
A81054,2019,06,TS101UA,1534,32,1672,1690,349,1375,56,0,370,17984
A81056,2019,06,TS232JW,297,18,615,615,117,336,5,0,86,4564
A81057,2019,06,TS232LS,1604,57,1331,1343,307,1138,18,6,413,17116
A81058,2019,06,TS80TL,1454,42,1218,1245,246,801,79,0,332,16285
A81060,2019,06,TS268DB,591,15,539,542,144,458,70,0,146,9496
A81063,2019,06,TS240NZ,648,15,1182,1197,193,756,0,0,177,9134
A81064,2019,06,TS12NX,1015,9,684,689,163,559,35,0,277,10769
A81065,2019,06,TS66TD,707,13,624,628,173,482,15,0,175,7491
A81066,2019,06,TS211JS,633,18,988,999,139,720,14,0,107,8363
A81067,2019,06,TS182BP,1897,37,1367,1372,380,1253,53,0,504,19575
A81070,2019,06,TS253DQ,1083,38,1023,1027,246,808,13,0,293,12015
A81602,2019,06,TS232DG,297,11,675,689,90,508,13,0,100,5729
A81608,2019,06,TS176PG,855,12,999,1003,228,806,3,0,264,9105
A81610,2019,06,TS232DG,949,19,1194,1211,225,927,11,4,249,12831
A81611,2019,06,TS80TL,1146,31,1062,1083,195,740,100,0,306,12500
A81612,2019,06,TS251AX,317,10,643,651,120,452,2,0,88,5711
A81618,2019,06,TS121BJ,1681,58,1859,1899,346,1285,142,0,559,21458
A81621,2019,06,TS39NB,409,4,332,340,125,359,23,0,120,5175
A81622,2019,06,TS268DF,816,23,793,795,172,667,2,0,216,9397
A81629,2019,06,TS182AP,772,34,805,812,209,654,10,0,195,10480
A81631,2019,06,TS249LJ,687,19,847,855,149,680,2,0,198,9836
A81634,2019,06,TS182EP,190,1,110,112,34,63,9,0,61,1682
A82003,2019,06,LA127BT,1128,49,1480,1490,313,1134,69,0,355,17570
A82004,2019,06,CA93QX,286,8,574,583,101,380,22,2,61,4916
A82005,2019,06,LA229BP,511,21,994,1007,131,659,44,3,134,8805
A82006,2019,06,CA166QR,460,21,946,957,139,597,9,0,85,8225
A82007,2019,06,LA141LF,1590,35,1408,1447,272,1016,134,23,393,19414
A82008,2019,06,LA145ES,1749,48,1902,1954,398,1267,104,1,486,21611
A82009,2019,06,LA139SH,1540,45,2128,2184,401,1518,23,49,399,19457
A82010,2019,06,LA145JY,902,29,995,1027,207,720,55,6,220,11798
A82012,2019,06,CA81NL,2381,99,3793,3813,605,2717,119,9,569,36303
