PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2019,11,-,486,18,174,177,39,144,61,354,135,17177
04Q998,2019,11,LN42HN,64,2,144,144,14,115,4,0,13,1238
A81001,2019,11,TS181HU,621,41,612,620,138,416,45,0,140,8268
A81002,2019,11,TS182AW,3000,89,3309,3326,667,2641,41,0,796,39397
A81004,2019,11,TS58SB,1270,40,1400,1413,370,1267,96,0,380,17736
A81005,2019,11,TS147DJ,990,48,1720,1725,283,1440,33,0,317,16674
A81006,2019,11,TS182AT,2555,69,2604,2623,526,2279,20,0,782,29701
A81007,2019,11,TS247PW,1419,23,1300,1321,254,980,4,0,393,16917
A81009,2019,11,TS56HF,1114,21,1475,1490,349,1077,61,0,321,15121
A81011,2019,11,TS247PW,1801,28,1827,1833,311,1358,38,0,548,23361
A81012,2019,11,TS36AL,1257,12,915,919,264,660,16,0,312,11432
A81013,2019,11,TS122FF,1345,15,1411,1430,303,960,32,0,342,14811
A81014,2019,11,TS232LA,415,32,848,860,153,918,19,1,106,9017
A81016,2019,11,TS13QY,1153,29,1493,1499,385,1300,55,0,350,17824
A81017,2019,11,TS170EE,2194,74,2964,2988,584,2425,67,0,605,30889
A81018,2019,11,TS104NW,1758,27,2033,2046,519,1595,87,0,503,22385
A81019,2019,11,TS37RL,1709,27,1355,1376,358,1263,54,0,415,19403
A81020,2019,11,TS43BU,1168,50,1461,1478,339,1120,69,0,359,17598
A81021,2019,11,TS66TD,2370,58,2832,2906,728,2481,160,0,602,31955
A81022,2019,11,TS122TG,1832,20,1955,1973,388,1417,69,0,531,20396
A81023,2019,11,TS12NX,954,9,699,712,155,428,49,0,240,10184
A81025,2019,11,TS181HU,595,30,693,694,157,600,24,0,154,8125
A81026,2019,11,TS56HA,3092,41,2559,2601,611,1957,106,0,1136,34784
A81027,2019,11,TS159DD,1510,89,1929,1960,267,1465,28,0,433,20929
A81029,2019,11,TS12NX,1154,24,1069,1087,273,883,27,0,187,13042
A81030,2019,11,TS13RY,1617,53,1803,1818,391,1330,97,0,426,23232
A81031,2019,11,TS247PW,1964,45,1693,1716,345,1450,7,0,492,22986
A81032,2019,11,TS147DJ,1784,48,1991,1998,393,1535,105,0,500,23882
A81034,2019,11,TS170EE,2837,85,3091,3116,614,2365,40,0,908,36975
A81035,2019,11,TS13RX,1299,24,1426,1451,308,1075,62,5,382,17621
A81036,2019,11,TS202UZ,2752,89,3090,3118,534,2394,72,4,814,34735
A81037,2019,11,TS12NX,985,15,1063,1073,353,932,94,0,265,13673
A81038,2019,11,TS36AL,507,9,611,621,258,534,50,0,143,7781
A81039,2019,11,TS169EA,1245,40,1678,1691,295,1179,19,0,409,17513
A81040,2019,11,TS232DG,1372,36,1145,1158,238,969,52,0,389,15539
A81041,2019,11,TS249DN,1210,35,1235,1239,256,905,24,0,477,14191
A81042,2019,11,TS69QG,2758,59,3044,3067,646,2535,177,2,694,32201
A81043,2019,11,TS60HA,2001,33,1735,1766,331,1297,113,0,614,21594
A81044,2019,11,TS251QU,2994,85,3432,3446,705,2908,18,0,917,37922
A81045,2019,11,TS101SR,1508,28,1499,1502,292,1221,72,0,328,17247
A81046,2019,11,TS181YE,2005,65,1842,1868,363,1480,68,0,483,23866
A81048,2019,11,TS117BL,1325,68,2638,2656,404,2210,16,0,348,22845
A81049,2019,11,TS36AL,1252,16,1062,1068,316,1109,80,1,337,14870
A81051,2019,11,TS55NN,889,11,1081,1092,237,934,25,0,272,11949
A81052,2019,11,TS104NW,1685,33,2050,2069,390,1444,126,0,414,22607
A81053,2019,11,TS134HW,1434,27,1540,1600,296,1196,123,0,253,17961
A81054,2019,11,TS101UA,1663,31,1733,1749,353,1440,71,0,414,19004
A81056,2019,11,TS232JW,272,16,620,620,115,316,9,0,87,4309
A81057,2019,11,TS232LS,1545,44,1304,1321,295,1096,19,6,403,16541
A81058,2019,11,TS80TL,1465,32,1228,1252,237,783,80,0,342,16486
A81060,2019,11,TS268DB,603,14,554,557,145,490,54,0,142,9476
A81063,2019,11,TS240NZ,705,25,1359,1367,226,899,0,0,195,10642
A81064,2019,11,TS12NX,1001,5,666,673,169,546,48,0,282,10793
A81065,2019,11,TS66TD,728,12,666,672,193,550,14,0,166,7577
A81066,2019,11,TS211JS,639,18,1075,1085,141,755,12,0,110,9184
A81067,2019,11,TS182BP,1915,32,1420,1430,384,1308,60,0,506,20615
A81070,2019,11,TS253DQ,1117,45,955,959,211,789,10,0,266,11752
A81602,2019,11,TS232DG,330,11,677,692,89,484,17,0,113,5739
A81608,2019,11,TS176PG,895,16,1084,1087,241,878,5,0,256,9754
A81610,2019,11,TS232DG,929,30,1274,1293,209,968,8,4,278,13159
A81611,2019,11,TS80TL,1163,22,1100,1121,193,785,90,0,323,12930
A81612,2019,11,TS251AX,293,6,602,606,114,433,3,0,74,5494
A81618,2019,11,TS121BJ,1700,53,1954,2000,339,1311,108,0,563,22264
A81621,2019,11,TS39NB,490,4,360,369,119,389,35,0,139,5423
A81622,2019,11,TS268DF,895,19,768,770,199,646,5,0,216,9569
A81629,2019,11,TS182AP,784,30,812,817,218,669,15,0,179,9502
A81631,2019,11,TS249LJ,610,12,629,636,123,524,2,0,181,7876
A81634,2019,11,TS182EP,228,3,121,124,32,77,3,0,68,1922
A82003,2019,11,LA127BT,1155,50,1472,1484,287,1124,70,0,353,17940
A82004,2019,11,CA93QX,318,7,572,582,100,393,17,2,69,5353
A82005,2019,11,LA229BP,644,28,1247,1265,144,800,58,4,155,10858
A82006,2019,11,CA166QR,443,16,925,935,136,570,10,0,94,8258
A82007,2019,11,LA141LF,1548,31,1348,1381,289,1024,120,23,345,18968
A82008,2019,11,LA145ES,1889,48,1988,2046,401,1375,106,2,522,23162
A82009,2019,11,LA139SH,1500,44,2065,2117,400,1546,16,52,394,19988
A82010,2019,11,LA142LB,956,28,1016,1044,211,759,53,7,242,11802
A82012,2019,11,CA81NL,2526,102,4099,4130,611,2959,142,20,604,39590
A82013,2019,11,CA174RB,708,32,1300,1308,251,955,35,4,107,12700
A82014,2019,11,CA78DS,467,46,1158,1168,155,790,7,0,92,9989
A82015,2019,11,CA11EB,781,10,669,679,187,425,22,0,209,9660
A82016,2019,11,CA11DG,4870,92,4617,4672,702,3252,204,89,1168,59198
A82018,2019,11,CA11BP,1324,28,1181,1197,142,923,72,26,414,15823
A82019,2019,11,CA12HE,1097,34,1131,1152,230,784,23,0,258,13583
A82020,2019,11,CA27AJ,1638,31,1636,1658,288,1180,98,0,530,21516
A82021,2019,11,CA139HT,1872,71,3533,3580,505,2151,47,0,406,29994
A82022,2019,11,CA57PZ,640,32,1276,1287,166,879,13,0,163,10368
A82023,2019,11,CA145UR,728,31,1355,1362,197,1014,16,10,202,11916
A82024,2019,11,CA201PN,571,32,1632,1655,234,1071,33,0,140,12591
A82025,2019,11,LA94JE,1389,42,1434,1444,299,1117,97,3,377,17353
A82026,2019,11,LA97HR,1998,78,3443,3466,574,2457,51,1,460,33159
A82027,2019,11,LA96SA,1273,42,2070,2087,355,1634,47,0,301,20138
A82028,2019,11,CA124DB,761,68,1857,1872,196,1205,22,0,188,15202
A82029,2019,11,CA75JH,353,12,921,925,119,497,2,0,48,6685
A82030,2019,11,LA62HQ,795,34,1278,1308,158,976,66,0,105,13888
A82031,2019,11,CA103LW,328,20,699,701,108,503,10,0,66,6124
A82032,2019,11,CA158EL,2526,62,2920,2944,563,1865,56,99,553,30371
A82033,2019,11,LA184BY,1180,40,1188,1214,272,958,167,0,356,17732
A82034,2019,11,LA77PW,716,39,1425,1443,171,942,39,0,153,12924
A82035,2019,11,CA118HW,1509,54,1858,1898,285,1271,55,0,312,21863
A82036,2019,11,CA118HW,1041,41,1442,1448,231,1111,31,0,192,15742
A82037,2019,11,CA74AH,589,24,933,948,161,668,9,1,90,9959
A82038,2019,11,CA101RW,423,7,875,878,109,571,16,4,130,7492
A82039,2019,11,LA158AB,994,52,1553,1582,235,928,29,4,328,15282
A82041,2019,11,CA287RG,1835,42,2634,2650,447,1742,15,13,426,24517
A82044,2019,11,CA222BD,4001,86,5480,5562,900,3137,192,105,772,54675
A82045,2019,11,CA79QD,1415,33,1985,2006,265,1429,104,0,349,19755
A82046,2019,11,LA232EG,506,20,802,808,149,563,11,0,83,7425
A82047,2019,11,CA142DL,1645,45,2101,2119,298,1328,70,57,297,21299
A82048,2019,11,CA143FT,1033,18,1121,1130,212,756,14,20,196,12327
A82049,2019,11,CA142ED,835,20,1035,1045,160,745,20,33,167,11111
A82050,2019,11,CA142AJ,1246,14,1262,1276,232,926,68,36,333,15226
A82053,2019,11,LA117DJ,604,47,1229,1241,185,863,38,0,133,11928
A82055,2019,11,CA73HH,866,18,1422,1458,302,1062,30,0,235,13813
A82058,2019,11,CA287BA,713,22,1045,1059,147,573,9,5,123,9750
A82062,2019,11,LA142LB,621,17,759,779,163,569,17,1,208,8217
A82064,2019,11,CA222DB,917,16,1292,1305,230,1063,40,14,199,12675
A82065,2019,11,LA117DJ,462,22,862,869,137,637,17,0,90,8740
A82068,2019,11,LA127BT,499,38,611,614,95,347,39,0,86,6628
A82070,2019,11,LA231BA,493,28,1250,1273,150,764,36,5,70,10541
A82071,2019,11,LA143HY,635,36,1096,1119,147,584,29,14,148,9628
A82072,2019,11,LA142LB,1208,35,1368,1406,254,1095,24,2,305,14215
A82075,2019,11,CA287BU,1213,26,1584,1607,281,1048,25,11,302,15542
A82077,2019,11,LA139QY,1013,11,614,631,159,481,60,8,245,11023
A82608,2019,11,LA105DL,452,21,828,830,178,546,12,0,51,7444
A82617,2019,11,CA101DQ,283,5,533,533,90,462,8,0,49,5127
A82620,2019,11,CA110PD,53,7,169,169,21,113,2,9,16,1131
A82621,2019,11,LA167JP,151,5,319,321,59,223,9,0,20,3191
A82623,2019,11,CA142RW,772,16,963,978,205,763,16,0,127,10692
A82629,2019,11,LA145SL,539,23,620,624,111,431,12,13,145,6352
A82631,2019,11,CA40HP,405,17,745,751,87,422,20,0,105,6811
A82646,2019,11,CA65XA,728,25,747,752,213,672,7,0,181,8575
A82647,2019,11,LA116PH,369,40,731,733,87,501,21,2,79,6637
