PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2017,04,-,8778,360,14570,14721,3298,10412,695,3339,1735,166321
01A998,2017,04,BB98AS,90,2,151,153,47,102,2,0,14,1817
A81001,2017,04,TS181HU,443,18,471,476,113,317,33,0,103,6714
A81002,2017,04,TS182AW,2325,96,3040,3062,571,2281,51,0,615,34825
A81004,2017,04,TS13BE,944,23,1152,1165,264,916,136,0,240,14828
A81005,2017,04,TS147DJ,871,37,1573,1584,261,1215,37,0,270,15420
A81006,2017,04,TS182AT,1903,61,2249,2275,478,1925,24,0,611,25445
A81007,2017,04,TS247PW,988,22,980,1006,204,755,4,0,206,13511
A81009,2017,04,TS56HF,1204,15,1397,1414,326,985,91,0,268,16697
A81011,2017,04,TS247PW,1484,35,1509,1514,253,1095,39,1,403,20105
A81012,2017,04,TS36AL,1143,12,1116,1121,242,806,34,0,229,13229
A81013,2017,04,TS122FF,1009,15,1086,1097,225,717,37,0,278,12125
A81014,2017,04,TS232LA,357,25,836,846,108,759,29,1,73,8328
A81015,2017,04,TS101TZ,407,8,546,561,78,415,9,0,86,5893
A81016,2017,04,TS13QY,935,22,1330,1337,310,1064,70,1,209,15687
A81017,2017,04,TS170EE,2277,56,2861,2890,577,2291,62,0,498,31507
A81018,2017,04,TS104NW,1341,22,1888,1915,424,1403,83,0,288,20605
A81019,2017,04,TS37RL,1556,42,1451,1487,312,1212,79,1,395,19874
A81020,2017,04,TS43BU,894,32,1239,1261,237,872,67,0,234,14777
A81021,2017,04,TS66TD,1829,63,2553,2624,585,2174,178,1,403,29855
A81022,2017,04,TS122TG,1446,18,1920,1948,352,1280,81,0,381,20500
A81023,2017,04,TS12NX,823,7,547,556,149,331,99,0,192,9420
A81025,2017,04,TS181HU,417,19,585,586,109,535,29,0,67,6838
A81026,2017,04,TS56HA,1816,49,1606,1658,370,1212,112,0,577,25397
A81027,2017,04,TS159DD,1328,67,1921,1949,289,1428,41,0,289,20074
A81029,2017,04,TS12NX,795,34,831,858,220,608,30,0,79,11082
A81030,2017,04,TS13RY,1298,40,1467,1495,280,1019,98,0,377,19611
A81031,2017,04,TS247PW,1312,47,1334,1357,243,1031,9,0,262,19406
A81032,2017,04,TS147DJ,1442,41,1793,1802,298,1290,92,0,365,21356
A81033,2017,04,TS36AL,587,14,665,679,157,560,80,0,175,7825
A81034,2017,04,TS170EE,2516,56,2825,2850,588,2055,62,0,637,35620
A81035,2017,04,TS13RX,1100,22,1177,1199,272,845,53,0,257,15808
A81036,2017,04,TS202UZ,2187,67,2895,2923,484,2193,86,12,557,32451
A81037,2017,04,TS12NX,807,25,982,1002,271,865,84,0,191,13149
A81038,2017,04,TS36AL,423,15,565,576,224,467,61,0,135,7333
