PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2020,10,-,235,5,102,102,8,68,48,90,46,11133
A81001,2020,10,TS181HU,648,23,727,735,183,509,11,0,131,9246
A81002,2020,10,TS182AW,3198,98,3515,3535,721,2788,43,0,866,40195
A81004,2020,10,TS58SB,1403,41,1551,1566,413,1409,99,0,445,19924
A81005,2020,10,TS147DJ,1107,46,1765,1777,310,1458,24,0,374,17468
A81006,2020,10,TS182AT,2688,68,2717,2735,548,2376,15,0,833,30773
A81007,2020,10,TS247PW,1594,26,1184,1205,284,970,13,0,496,17512
A81009,2020,10,TS56HF,1217,33,1496,1512,374,1156,68,0,355,16258
A81011,2020,10,TS247PW,2144,32,2535,2540,416,1849,79,0,641,28191
A81012,2020,10,TS36AL,1231,12,881,886,279,709,18,0,294,12229
A81013,2020,10,TS122FF,1687,17,1518,1540,357,1072,48,0,447,17196
A81014,2020,10,TS232LA,497,30,909,923,181,1009,16,1,130,10486
A81016,2020,10,TS13QY,1250,31,1524,1530,403,1311,59,0,375,17890
A81017,2020,10,TS170EE,2315,74,3169,3187,664,2497,69,0,665,33437
A81018,2020,10,TS104NW,2056,35,2219,2229,599,1766,91,0,612,24182
A81019,2020,10,TS37RL,1798,23,1479,1498,360,1384,57,0,493,20197
A81020,2020,10,TS43BU,1374,59,1577,1595,365,1215,82,0,415,19336
A81021,2020,10,TS66TD,2460,64,2801,2862,732,2398,142,1,652,31682
A81022,2020,10,TS122TG,2078,21,2117,2135,410,1482,70,0,564,21790
A81023,2020,10,TS12NX,1249,14,942,953,198,607,48,0,311,12623
A81025,2020,10,TS181HU,613,40,713,714,151,606,33,0,176,8572
A81026,2020,10,TS56HA,3447,56,2673,2707,685,2202,119,1,1272,38560
A81027,2020,10,TS159DD,1789,76,2160,2189,295,1671,32,0,550,25317
A81029,2020,10,TS12NX,1292,29,1283,1309,352,1063,42,0,201,14955
A81030,2020,10,TS13RY,2082,76,2545,2562,492,1772,112,0,598,28095
A81031,2020,10,TS247PW,2243,47,1764,1779,356,1475,19,0,590,24997
A81032,2020,10,TS147DJ,2160,55,2150,2166,433,1669,105,0,624,26678
A81034,2020,10,TS170EE,3035,77,3170,3179,653,2427,42,0,1038,38045
A81035,2020,10,TS13RX,1460,29,1428,1453,311,1122,48,2,436,18487
A81036,2020,10,TS202UZ,2995,99,3325,3346,602,2595,87,2,927,37316
A81037,2020,10,TS12NX,1056,23,1099,1104,357,969,79,0,280,13320
A81038,2020,10,TS36AL,529,13,659,666,249,556,52,0,175,8276
A81039,2020,10,TS169EA,1366,51,1895,1909,350,1337,24,0,473,18239
A81040,2020,10,TS232DG,1485,35,1175,1192,237,1039,53,0,464,16141
A81041,2020,10,TS249DN,1475,54,1457,1461,299,1036,21,0,594,16281
A81042,2020,10,TS69QG,3036,43,2998,3019,691,2538,143,3,786,32756
A81043,2020,10,TS60HA,2046,28,1607,1632,346,1186,106,2,598,22129
A81044,2020,10,TS251QU,3338,118,3771,3785,817,3104,24,0,1025,41511
A81045,2020,10,TS101SR,1557,32,1462,1464,315,1219,50,0,352,17453
A81046,2020,10,TS181YE,2129,70,1869,1893,365,1476,69,0,548,24187
A81048,2020,10,TS117BL,1364,74,2117,2138,326,1791,13,0,366,19892
A81049,2020,10,TS36AL,1267,21,1047,1055,334,1102,87,0,359,14883
A81051,2020,10,TS55NN,914,13,1064,1073,241,947,10,0,282,12496
A81052,2020,10,TS104NW,1629,27,1937,1957,347,1376,113,0,462,22395
A81053,2020,10,TS134HW,1500,25,1612,1661,296,1173,117,0,281,18277
A81054,2020,10,TS101UA,1767,36,1785,1800,385,1465,81,0,501,19817
A81056,2020,10,TS232JW,328,6,664,665,123,340,3,0,94,4678
A81057,2020,10,TS232LS,1766,40,1422,1438,347,1220,21,0,458,19122
A81058,2020,10,TS80TL,1658,27,1490,1522,276,955,73,0,420,18583
A81060,2020,10,TS268DB,781,9,801,803,176,698,67,0,173,11457
A81063,2020,10,TS240NZ,808,31,1440,1451,263,961,4,0,248,11474
A81064,2020,10,TS12NX,1083,11,764,775,171,623,44,0,306,11554
A81065,2020,10,TS66TD,819,19,744,751,221,579,12,0,211,8230
A81066,2020,10,TS211JS,723,14,1125,1138,157,828,13,0,158,9798
A81067,2020,10,TS182BP,2138,42,1459,1467,411,1483,52,0,589,21996
A81070,2020,10,TS253DQ,1056,21,934,935,236,780,11,0,301,11456
A81602,2020,10,TS232DG,339,10,674,685,96,524,13,0,103,6257
A81608,2020,10,TS176PG,1184,18,1411,1414,337,1125,13,0,379,13300
A81610,2020,10,TS232DG,1100,29,1315,1332,243,1019,9,0,327,13942
A81611,2020,10,TS80TL,1263,32,1286,1311,238,909,98,0,406,15258
A81612,2020,10,TS251AX,351,8,619,623,108,427,1,0,88,5160
A81618,2020,10,TS121BJ,1894,70,2061,2097,367,1403,129,0,666,25412
A81621,2020,10,TS39NB,403,6,250,251,99,271,26,0,104,4091
A81622,2020,10,TS268DF,1022,8,795,799,179,616,9,0,252,10228
A81629,2020,10,TS182AP,800,22,830,834,215,682,15,0,189,9587
A81631,2020,10,TS249LJ,995,16,883,887,207,759,9,0,301,11378
A81634,2020,10,TS182EP,244,2,124,127,32,82,7,0,73,1929
A82003,2020,10,LA127BT,1060,40,1364,1376,265,1000,63,0,318,16274
A82004,2020,10,CA93QX,339,11,634,639,109,429,15,3,65,5390
A82005,2020,10,LA229BP,632,29,1329,1353,144,939,66,4,160,11511
A82006,2020,10,CA166QR,590,10,1130,1143,166,734,7,0,138,9524
A82007,2020,10,LA141LF,1648,28,1364,1395,278,1008,142,21,447,19884
A82008,2020,10,LA145ES,1953,50,1944,2011,393,1373,116,1,568,24144
A82009,2020,10,LA139SH,1618,52,2101,2140,424,1588,14,62,461,21288
A82010,2020,10,LA142LB,850,25,946,970,191,770,44,4,257,11867
A82012,2020,10,CA81NL,2471,85,3821,3852,597,2791,108,17,597,35835
A82013,2020,10,CA174RB,816,35,1548,1562,317,1126,48,3,149,14664
A82014,2020,10,CA78DS,382,13,1052,1110,120,650,12,0,82,8860
A82015,2020,10,CA11EB,820,15,821,833,200,519,28,0,219,10033
A82016,2020,10,CA11DG,5500,71,5265,5317,859,3777,217,95,1302,66991
A82018,2020,10,CA11BP,1529,32,1377,1394,199,1161,53,28,474,17750
A82019,2020,10,CA12HE,1135,34,1256,1280,269,848,31,0,252,14852
A82020,2020,10,CA27AJ,1741,29,1850,1874,310,1264,97,0,543,22970
A82021,2020,10,CA139HT,1976,58,4175,4235,827,2572,28,35,430,36813
A82022,2020,10,CA57PZ,766,34,1430,1447,192,966,29,0,207,12025
A82023,2020,10,CA145UR,758,28,1247,1257,181,966,16,7,193,11035
A82024,2020,10,CA201PN,604,24,1598,1619,237,1044,35,0,158,12803
A82025,2020,10,LA94JE,1527,30,1572,1579,311,1198,108,5,432,18587
A82026,2020,10,LA97HR,2026,75,3312,3338,520,2370,52,1,498,31822
A82027,2020,10,LA96SA,1331,51,2215,2229,369,1745,48,0,355,20590
A82028,2020,10,CA124DB,828,82,2007,2020,222,1284,23,0,197,16072
A82029,2020,10,CA75JH,461,23,1026,1034,140,582,2,0,68,8241
A82030,2020,10,LA62HQ,816,36,1303,1326,145,1010,54,0,123,14693
A82031,2020,10,CA103LW,376,13,736,742,130,570,5,0,93,6578
A82032,2020,10,CA158EL,2672,53,3235,3259,661,2019,43,110,603,32681
A82033,2020,10,LA184BY,1163,31,1166,1188,237,943,153,0,326,17880
A82035,2020,10,CA118HW,1554,55,1909,1938,299,1324,36,0,295,22268
A82036,2020,10,CA118HW,1122,36,1446,1452,224,1054,10,0,212,17164
A82037,2020,10,CA74AH,658,23,1011,1020,194,729,6,0,93,10512
A82038,2020,10,CA101RW,445,12,901,904,126,619,15,4,127,8670
A82039,2020,10,LA158AB,1027,44,1588,1613,250,999,32,4,328,15980
A82041,2020,10,CA287RG,1898,33,2733,2749,475,1902,41,15,419,24814
A82044,2020,10,CA222BD,4140,90,5664,5751,877,3266,181,125,820,56241
A82045,2020,10,CA79QD,1337,21,1923,1939,261,1410,85,0,292,19951
A82046,2020,10,LA232EG,508,13,880,885,164,576,17,0,99,8669
A82047,2020,10,CA142DL,1708,44,2204,2222,341,1430,76,85,314,22809
A82048,2020,10,CA143FT,1125,18,1245,1253,230,814,20,37,240,13634
A82049,2020,10,CA142ED,966,18,1294,1304,195,940,22,54,211,11859
A82050,2020,10,CA142AJ,1340,11,1362,1375,246,983,60,44,348,16076
A82053,2020,10,LA117DJ,1146,66,2091,2111,311,1561,70,0,262,21896
A82055,2020,10,CA73HH,919,14,1546,1568,320,1171,18,0,229,15497
A82058,2020,10,CA287BA,772,18,1044,1059,151,629,7,6,147,9898
A82062,2020,10,LA142LB,703,15,755,781,170,599,4,1,255,8344
