PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2017,05,-,9775,424,16165,16332,3668,11675,824,3962,1926,187299
01A998,2017,05,BB98AS,178,3,216,217,67,180,8,0,39,3032
06N998,2017,05,AL86JL,83,1,153,153,54,92,6,0,23,1930
A81001,2017,05,TS181HU,511,30,525,529,132,353,35,0,113,7862
A81002,2017,05,TS182AW,2552,116,3333,3364,638,2448,56,0,686,38594
A81004,2017,05,TS58SB,1067,34,1337,1349,307,1068,146,0,285,17014
A81005,2017,05,TS147DJ,871,33,1617,1629,266,1283,35,0,269,16060
A81006,2017,05,TS182AT,2112,68,2482,2511,527,2131,29,0,694,27945
A81007,2017,05,TS247PW,1188,32,1159,1186,214,899,9,0,256,16111
A81009,2017,05,TS56HF,1314,26,1603,1617,356,1098,104,0,295,18287
A81011,2017,05,TS247PW,1634,38,1727,1733,283,1287,39,2,479,22799
A81012,2017,05,TS36AL,1158,11,1158,1165,253,861,34,0,215,14184
A81013,2017,05,TS122FF,1088,17,1160,1173,229,768,45,0,290,13265
A81014,2017,05,TS232LA,374,35,851,864,145,779,26,1,73,8893
A81015,2017,05,TS101TZ,437,7,562,580,84,440,10,0,107,6273
A81016,2017,05,TS13QY,1030,27,1447,1452,367,1226,67,2,254,17753
A81017,2017,05,TS170EE,2902,81,3779,3814,783,3056,83,0,681,42034
A81018,2017,05,TS104NW,1375,20,2013,2037,438,1539,82,0,302,21959
A81019,2017,05,TS37RL,1620,39,1525,1555,350,1279,82,4,382,21258
A81020,2017,05,TS43BU,923,37,1329,1346,251,944,71,0,238,15538
A81021,2017,05,TS66TD,1918,76,2824,2893,610,2352,184,1,408,32230
A81022,2017,05,TS122TG,1561,15,1963,1989,364,1353,71,0,438,21892
A81023,2017,05,TS12NX,1087,9,578,597,145,371,110,0,244,10847
A81025,2017,05,TS181HU,469,28,670,675,121,606,30,0,74,9185
