PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2018,12,-,538,17,256,261,52,153,70,665,182,16153
01E998,2018,12,PR266TR,129,1,167,168,88,145,6,0,12,1875
04Q998,2018,12,LN42HN,78,2,153,153,24,117,3,0,16,1359
A81001,2018,12,TS181HU,600,27,615,618,125,405,50,0,138,7815
A81002,2018,12,TS182AW,2864,83,3312,3335,677,2561,28,0,803,41556
A81004,2018,12,TS58SB,1309,42,1552,1564,393,1297,142,0,365,19399
A81005,2018,12,TS147DJ,909,35,1661,1669,270,1338,32,0,303,16150
A81006,2018,12,TS182AT,2281,78,2577,2603,533,2272,15,0,744,28381
A81007,2018,12,TS247PW,1510,35,1340,1364,258,1022,5,0,418,17534
A81009,2018,12,TS56HF,1204,16,1489,1505,346,1090,80,0,334,16255
A81011,2018,12,TS247PW,1797,27,1839,1841,288,1320,35,4,551,22783
A81012,2018,12,TS36AL,1403,20,1122,1130,297,865,27,0,323,13954
A81013,2018,12,TS122FF,1300,15,1314,1330,275,878,27,0,352,14300
A81014,2018,12,TS232LA,407,27,881,892,158,882,13,0,105,8853
A81016,2018,12,TS13QY,1122,22,1458,1462,388,1299,62,1,310,18282
A81017,2018,12,TS170EE,2302,56,3052,3081,625,2510,57,0,581,31490
A81018,2018,12,TS104NW,1666,28,2088,2112,534,1696,81,0,459,23540
A81019,2018,12,TS37RL,1715,38,1420,1446,347,1299,57,0,478,19939
A81020,2018,12,TS43BU,1125,30,1455,1472,341,1100,76,0,335,17054
A81021,2018,12,TS66TD,2276,66,2885,2955,736,2562,175,1,609,35769
A81022,2018,12,TS122TG,1814,24,1984,2004,373,1369,75,0,523,21048
A81023,2018,12,TS12NX,973,9,599,613,150,406,64,0,209,10010
A81025,2018,12,TS181HU,487,29,728,729,174,645,24,0,117,7898
A81026,2018,12,TS56HA,2829,48,2344,2385,559,1822,153,0,1056,33525
A81027,2018,12,TS159DD,1581,106,2018,2044,252,1533,23,0,416,21375
A81029,2018,12,TS12NX,1177,30,1125,1150,308,944,37,0,162,13886
A81030,2018,12,TS13RY,1492,53,1686,1702,376,1179,101,0,404,22282
A81031,2018,12,TS247PW,1714,34,1709,1729,344,1381,14,0,431,22318
A81032,2018,12,TS147DJ,1622,43,1893,1902,386,1453,113,0,459,23018
A81034,2018,12,TS170EE,2852,80,3072,3091,650,2365,50,0,865,37774
A81035,2018,12,TS13RX,1317,24,1421,1452,312,1022,69,0,354,17950
A81036,2018,12,TS202UZ,2498,85,2921,2948,517,2236,70,7,726,33108
A81037,2018,12,TS12NX,964,15,1101,1122,374,978,96,0,221,14619
A81038,2018,12,TS36AL,497,21,661,670,255,523,58,0,173,8118
A81039,2018,12,TS169EA,1139,44,1749,1763,305,1214,28,0,379,16703
A81040,2018,12,TS232DG,1314,32,1069,1089,217,924,64,0,345,15117
A81041,2018,12,TS249DN,1192,34,1433,1440,287,996,25,0,442,15105
A81042,2018,12,TS69QG,2692,50,3177,3208,671,2681,164,1,552,33742
A81043,2018,12,TS60HA,1902,27,1663,1704,357,1260,85,0,595,20156
A81044,2018,12,TS251QU,2867,92,3594,3613,765,3065,22,0,843,38886
A81045,2018,12,TS101SR,1534,25,1573,1582,308,1243,77,0,303,19254
A81046,2018,12,TS181YE,1887,66,1894,1933,379,1390,63,0,388,23607
A81048,2018,12,TS117BL,1276,78,2187,2206,367,1756,11,0,312,20346
A81049,2018,12,TS36AL,1199,31,1130,1140,378,1192,89,0,269,15150
A81051,2018,12,TS55NN,865,21,1018,1032,205,899,42,0,254,12217
A81052,2018,12,TS104NW,1553,34,2044,2057,434,1466,101,0,410,22068
A81053,2018,12,TS134HW,1534,35,1814,1881,329,1359,167,0,244,20785
A81054,2018,12,TS101UA,1497,40,1731,1748,363,1391,65,0,365,18497
A81056,2018,12,TS232JW,289,14,623,623,116,328,10,0,75,5310
A81057,2018,12,TS232LS,1494,44,1276,1289,306,1069,21,7,350,17159
A81058,2018,12,TS80TL,1423,37,1288,1315,245,850,85,0,300,17466
A81060,2018,12,TS268DB,556,18,476,480,121,436,66,0,134,9008
A81063,2018,12,TS240NZ,697,29,1352,1367,211,919,0,0,182,10595
A81064,2018,12,TS12NX,978,7,606,611,165,523,48,0,253,10286
A81065,2018,12,TS66TD,700,10,660,667,194,527,16,0,166,7956
A81066,2018,12,TS211JS,609,16,1073,1086,151,772,17,0,92,8947
A81067,2018,12,TS182BP,1634,34,1363,1372,375,1228,84,0,412,19258
A81070,2018,12,TS253DQ,882,48,1036,1040,233,788,9,0,237,11151
A81602,2018,12,TS232DG,313,10,674,698,89,504,15,0,111,5884
A81608,2018,12,TS176PG,789,13,1013,1016,237,843,3,0,212,9623
A81610,2018,12,TS232DG,968,21,1151,1166,231,940,13,5,252,13035
A81611,2018,12,TS80TL,1118,28,1079,1094,213,787,95,0,300,12998
A81612,2018,12,TS251AX,277,12,614,619,112,430,5,0,68,5773
A81618,2018,12,TS121BJ,1612,59,1912,1963,340,1331,141,0,544,22297
A81621,2018,12,TS39NB,416,5,329,345,108,332,26,0,89,5027
A81622,2018,12,TS268DF,758,27,708,709,167,592,0,0,170,8820
A81629,2018,12,TS182AP,767,29,806,812,221,662,16,0,181,10547
A81631,2018,12,TS249LJ,717,16,867,874,164,697,3,1,197,9974
A81632,2018,12,TS181HU,510,0,14,14,6,15,3,0,90,1690
A81634,2018,12,TS182EP,210,3,108,111,46,72,11,0,68,1828
A82003,2018,12,LA127BT,1053,35,1311,1327,243,930,97,0,312,15801
A82004,2018,12,CA93QX,267,7,558,566,85,382,13,0,47,4716
A82005,2018,12,LA229BP,542,25,1100,1110,130,706,56,2,119,9664
A82006,2018,12,CA166QR,482,21,1025,1041,150,645,13,0,91,8916
A82007,2018,12,LA141LF,1561,34,1406,1444,295,1033,135,27,364,19953
A82008,2018,12,LA145ES,1828,48,2002,2055,399,1291,111,1,499,23031
A82009,2018,12,LA139SH,1386,56,2120,2164,427,1460,29,62,277,19407
A82010,2018,12,LA145JY,900,46,1126,1161,233,814,57,6,226,12899
A82012,2018,12,CA81NL,2428,100,3859,3875,574,2785,120,18,529,37404
A82013,2018,12,CA174RB,763,32,1371,1376,299,1068,30,4,106,14152
A82014,2018,12,CA78DS,451,44,1086,1096,133,706,9,0,73,9251
A82015,2018,12,CA11EB,889,21,771,782,208,507,23,0,229,10171
A82016,2018,12,CA11DG,4748,105,4895,4952,708,3526,223,94,1031,60771
A82018,2018,12,CA11BP,1401,47,1283,1302,129,1047,76,27,434,16700
A82019,2018,12,CA12HE,1050,36,1146,1168,236,833,30,0,226,13418
A82020,2018,12,CA27AJ,1638,46,1805,1836,291,1167,104,0,461,21716
A82021,2018,12,CA139HT,1736,71,3653,3709,488,2227,67,0,323,31882
A82022,2018,12,CA57PZ,621,26,1307,1311,160,902,13,0,155,10277
A82023,2018,12,CA145UR,658,21,1301,1310,186,997,19,8,147,11618
A82024,2018,12,CA201PN,613,27,1583,1603,237,1026,36,0,133,12901
A82025,2018,12,LA94JE,1326,45,1429,1441,300,1077,89,5,311,16374
A82026,2018,12,LA97HR,1759,69,3084,3104,548,2161,55,0,302,29285
A82027,2018,12,LA96SA,1498,39,2330,2347,410,1846,55,0,322,23308
A82028,2018,12,CA124DB,703,69,1772,1788,181,1150,19,0,148,14668
A82029,2018,12,CA75JH,355,24,979,985,130,556,1,0,44,7070
A82030,2018,12,LA62HQ,769,49,1213,1247,174,961,54,0,111,13555
A82031,2018,12,CA103LW,400,19,818,819,116,606,17,0,112,7190
A82032,2018,12,CA158EL,2599,76,3180,3207,634,1994,69,90,543,32490
A82033,2018,12,LA184BY,1152,34,1224,1258,281,898,176,0,356,17494
A82034,2018,12,LA77PW,653,47,1339,1356,174,837,47,0,122,12235
A82035,2018,12,CA118HW,1509,55,1943,1975,255,1276,58,0,316,22035
A82036,2018,12,CA118HW,1026,54,1469,1475,223,1092,12,1,186,15423
A82037,2018,12,CA74AH,667,18,974,982,183,702,6,0,82,10919
A82038,2018,12,CA101RW,401,10,808,811,107,549,16,4,121,7211
A82039,2018,12,LA158AB,901,53,1458,1492,209,868,41,5,252,14046
A82041,2018,12,CA287RG,1855,46,2663,2680,436,1731,55,11,391,25059
A82044,2018,12,CA287QE,3747,71,5379,5459,868,3149,152,89,682,53313
A82045,2018,12,CA79QD,1213,21,1766,1783,253,1257,98,1,252,17788
A82046,2018,12,LA232EG,574,22,800,809,151,597,33,0,82,7898
A82047,2018,12,CA142DL,1643,43,2146,2163,298,1390,84,55,258,22092
A82048,2018,12,CA143FT,1104,18,1146,1156,212,785,23,14,234,12527
A82049,2018,12,CA142ED,831,15,960,968,161,715,21,30,179,11303
A82050,2018,12,CA142AJ,1191,21,1302,1322,200,908,84,23,280,14830
A82053,2018,12,LA117DJ,636,46,1256,1267,187,901,37,0,125,11951
A82055,2018,12,CA73HH,852,11,1481,1519,301,1101,26,0,193,14107
A82058,2018,12,CA287BA,720,21,1087,1102,138,588,8,2,116,9831
A82062,2018,12,LA142LR,561,16,810,830,163,556,3,3,165,8204
A82064,2018,12,CA222DB,901,13,1177,1196,236,1011,90,17,220,12201
A82065,2018,12,LA117DJ,488,15,888,895,138,656,24,0,120,9266
A82068,2018,12,LA127BT,472,32,592,597,87,325,22,0,77,6381
A82070,2018,12,LA231BA,486,22,1263,1276,175,759,32,4,74,10645
A82071,2018,12,LA143HY,570,32,1113,1139,156,639,27,14,116,9768
A82072,2018,12,LA139RX,1270,34,1427,1470,243,1159,41,1,277,14974
A82075,2018,12,CA287BU,1132,21,1525,1551,261,973,24,5,277,14425
A82077,2018,12,LA139QY,950,12,579,598,151,444,61,5,213,10558
A82608,2018,12,LA105DL,407,22,825,832,160,551,21,0,25,7322
A82617,2018,12,CA101DQ,250,8,415,415,64,349,8,0,43,4054
A82620,2018,12,CA110PD,46,8,180,180,23,117,0,8,12,1162
A82621,2018,12,LA167JP,159,5,342,343,59,229,10,0,14,3660
A82623,2018,12,CA142RW,730,20,939,949,168,714,23,0,110,10174
A82629,2018,12,LA145SL,526,11,638,644,106,444,17,11,167,6517
A82631,2018,12,CA40HP,352,24,658,663,80,388,13,0,85,6046
A82646,2018,12,CA65XA,728,19,765,770,205,692,11,0,198,8775
A82647,2018,12,LA116PH,344,24,657,661,90,458,13,2,47,6156
A82650,2018,12,LA128QF,283,12,527,531,67,290,21,0,43,5111
A82651,2018,12,LA177TE,285,3,500,503,102,409,22,6,51,5992
A82654,2018,12,CA11LB,928,50,1508,1519,197,844,67,0,219,13617
A83001,2018,12,DL166QA,1962,90,2126,2144,371,1450,76,0,623,25109
A83003,2018,12,DL150EQ,1607,68,1959,1979,433,1506,44,0,523,23297
A83004,2018,12,SR78LF,812,15,1005,1026,279,933,10,0,213,10772
A83005,2018,12,DL13RT,1793,82,1945,1957,444,1614,91,2,553,24694
A83006,2018,12,DL36HZ,934,76,906,909,264,951,72,4,232,13562
A83007,2018,12,TS274LQ,2301,80,2295,2305,559,2191,64,2,502,31171
A83008,2018,12,DL42HP,1230,39,1302,1306,310,1128,62,0,343,16619
A83009,2018,12,DH33SL,1259,105,1599,1609,265,1177,29,1,319,16734
