PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2019,07,-,541,12,418,427,75,266,67,301,147,16984
04Q998,2019,07,LN42HN,104,3,196,197,34,147,5,0,17,1699
99K998,2019,07,BN72PB,91,13,248,248,13,181,9,0,23,2167
A81001,2019,07,TS181HU,658,31,613,617,154,416,43,0,149,8134
A81002,2019,07,TS182AW,3004,101,3526,3543,715,2748,37,0,808,38984
A81004,2019,07,TS58SB,1266,41,1412,1424,391,1282,100,0,354,17949
A81005,2019,07,TS147DJ,1039,39,1693,1704,282,1416,41,0,347,16868
A81006,2019,07,TS182AT,2771,68,2708,2731,575,2438,14,0,889,31411
A81007,2019,07,TS247PW,1539,23,1286,1311,260,983,6,0,447,17160
A81009,2019,07,TS56HF,1151,22,1393,1409,337,1008,55,0,324,14688
A81011,2019,07,TS247PW,1753,30,1700,1706,283,1285,40,0,531,22400
A81012,2019,07,TS36AL,1352,9,1064,1072,323,830,21,0,350,13429
A81013,2019,07,TS122FF,1390,16,1313,1333,284,880,42,0,378,14581
A81014,2019,07,TS232LA,404,28,875,886,161,919,13,2,97,8830
A81016,2019,07,TS13QY,1190,27,1525,1530,408,1282,67,1,350,18384
A81017,2019,07,TS170EE,2469,88,3361,3389,702,2740,55,0,655,35080
A81018,2019,07,TS104NW,1832,31,2225,2244,597,1752,77,0,494,24901
A81019,2019,07,TS37RL,1838,27,1507,1528,385,1334,62,0,518,20270
A81020,2019,07,TS43BU,1217,43,1570,1590,357,1159,88,0,343,18144
A81021,2019,07,TS66TD,2260,64,2763,2834,724,2442,195,1,581,32007
A81022,2019,07,TS122TG,1943,23,2069,2089,389,1445,83,0,533,21559
A81023,2019,07,TS12NX,1012,13,663,681,170,441,52,0,231,10318
A81025,2019,07,TS181HU,602,24,781,782,170,688,26,0,157,8705
A81026,2019,07,TS56HA,3357,51,2591,2630,677,2067,135,0,1283,36414
A81027,2019,07,TS159DD,1705,101,2161,2192,304,1659,34,0,480,23217
A81029,2019,07,TS12NX,1110,18,1087,1106,297,863,40,0,179,13540
A81030,2019,07,TS13RY,1563,53,1718,1736,410,1235,94,0,440,22853
A81031,2019,07,TS247PW,1743,33,1597,1617,337,1328,14,0,435,21463
A81032,2019,07,TS147DJ,1901,50,2042,2049,400,1491,114,0,558,23801
A81034,2019,07,TS170EE,3052,80,3290,3316,682,2576,51,0,918,40045
A81035,2019,07,TS13RX,1340,19,1414,1449,307,1036,64,0,399,18123
A81036,2019,07,TS202UZ,2772,89,3265,3289,585,2533,71,4,831,35999
A81037,2019,07,TS12NX,1013,12,1112,1122,340,932,82,0,251,14036
A81038,2019,07,TS36AL,525,14,703,711,282,519,68,0,184,8318
A81039,2019,07,TS169EA,1248,41,1764,1776,328,1269,20,0,426,17401
A81040,2019,07,TS232DG,1399,28,1204,1220,230,994,53,0,425,15681
A81041,2019,07,TS249DN,1197,30,1258,1264,248,894,31,0,464,13967
A81042,2019,07,TS69QG,2470,47,2725,2751,557,2247,149,2,580,28803
A81043,2019,07,TS60HA,1800,32,1606,1642,298,1201,99,0,537,19642
A81044,2019,07,TS251QU,2341,64,2729,2743,606,2375,15,0,710,30650
