PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2020,08,-,260,14,73,74,12,48,36,66,63,8751
A81001,2020,08,TS181HU,582,31,649,653,160,447,6,0,113,7696
A81002,2020,08,TS182AW,2975,100,3193,3209,641,2536,42,0,810,35605
A81004,2020,08,TS58SB,1217,34,1378,1391,369,1238,88,0,365,16104
A81005,2020,08,TS147DJ,1025,42,1678,1684,314,1403,22,0,346,15494
A81006,2020,08,TS182AT,2595,70,2542,2553,505,2239,14,0,817,27982
A81007,2020,08,TS247PW,1512,22,1321,1343,280,1090,13,0,454,16423
A81009,2020,08,TS56HF,1112,25,1369,1384,310,1057,55,0,340,13836
A81011,2020,08,TS247PW,1898,25,2281,2286,370,1662,59,0,570,24085
A81012,2020,08,TS36AL,1177,11,889,894,268,682,16,0,283,10988
A81013,2020,08,TS122FF,1441,14,1393,1416,305,921,44,0,385,14141
A81014,2020,08,TS232LA,446,28,852,863,163,911,23,2,124,8902
A81016,2020,08,TS13QY,1189,28,1414,1420,372,1215,46,0,358,16077
A81017,2020,08,TS170EE,2091,81,2870,2893,600,2304,64,0,600,27831
A81018,2020,08,TS104NW,1899,28,2021,2029,539,1631,83,0,550,22289
A81019,2020,08,TS37RL,1690,20,1445,1464,370,1344,55,0,457,18510
A81020,2020,08,TS43BU,1077,43,1367,1381,313,1002,62,0,280,15439
A81021,2020,08,TS66TD,2238,65,2612,2674,659,2213,149,1,589,29070
A81022,2020,08,TS122TG,1807,23,1861,1876,359,1296,66,0,477,18703
A81023,2020,08,TS12NX,1112,9,890,904,188,565,46,0,290,10766
A81025,2020,08,TS181HU,554,26,725,726,156,569,31,0,136,7511
A81026,2020,08,TS56HA,3133,50,2486,2524,634,2049,81,0,1171,32049
A81027,2020,08,TS159DD,1601,82,1933,1963,272,1510,28,0,466,19984
A81029,2020,08,TS12NX,1183,18,1201,1228,331,1016,33,0,194,14048
A81030,2020,08,TS13RY,1846,62,2293,2304,491,1634,110,0,510,24329
A81031,2020,08,TS247PW,1935,38,1590,1602,336,1319,12,0,513,20490
A81032,2020,08,TS147DJ,1888,44,1983,1991,398,1565,90,0,508,22654
A81034,2020,08,TS170EE,2820,77,3036,3053,618,2363,51,0,913,35201
A81035,2020,08,TS13RX,1249,22,1339,1365,302,997,58,1,388,15831
A81036,2020,08,TS202UZ,2648,89,3038,3054,531,2374,66,3,855,32206
A81037,2020,08,TS12NX,959,23,1070,1077,342,905,76,0,256,12627
A81038,2020,08,TS36AL,525,9,645,653,233,497,57,0,176,7645
A81039,2020,08,TS169EA,1270,44,1742,1755,304,1216,23,0,451,16340
A81040,2020,08,TS232DG,1366,33,1068,1083,218,954,42,0,401,14175
A81041,2020,08,TS249DN,1296,45,1268,1273,280,924,20,0,531,14008
A81042,2020,08,TS69QG,2681,31,2729,2752,608,2335,136,2,705,28341
A81043,2020,08,TS60HA,1899,24,1518,1540,306,1083,112,1,555,18392
A81044,2020,08,TS251QU,2910,86,3465,3475,705,2756,20,0,930,35435
A81045,2020,08,TS101SR,1382,38,1337,1339,282,1130,51,0,337,15657
A81046,2020,08,TS181YE,1895,57,1732,1755,340,1385,71,0,478,20962
A81048,2020,08,TS117BL,1268,65,2043,2060,310,1747,11,0,366,18397
A81049,2020,08,TS36AL,1234,17,1027,1033,328,1059,90,0,353,13632
A81051,2020,08,TS55NN,857,8,957,964,214,889,23,0,258,10694
A81052,2020,08,TS104NW,1558,32,1764,1779,328,1289,109,0,427,19313
A81053,2020,08,TS134HW,1532,29,1657,1708,308,1229,117,0,250,17984
A81054,2020,08,TS101UA,1555,35,1659,1671,349,1349,86,0,420,17802
A81056,2020,08,TS232JW,304,6,597,597,106,312,3,0,91,4212
A81057,2020,08,TS232LS,1527,42,1286,1294,290,1093,18,0,393,16072
A81058,2020,08,TS80TL,1562,41,1411,1440,268,892,72,0,376,17106
A81060,2020,08,TS268DB,704,13,694,695,153,630,58,0,142,9603
A81063,2020,08,TS240NZ,711,19,1195,1203,207,794,1,0,215,9370
A81064,2020,08,TS12NX,965,8,672,680,143,509,47,0,303,9788
A81065,2020,08,TS66TD,691,18,668,673,191,528,11,0,171,6835
A81066,2020,08,TS211JS,646,13,1003,1012,152,741,16,0,122,8414
A81067,2020,08,TS182BP,1949,42,1306,1310,371,1254,40,0,548,19048
A81070,2020,08,TS253DQ,950,29,874,877,231,712,6,0,265,10438
A81602,2020,08,TS232DG,326,7,627,642,85,484,11,0,98,5231
A81608,2020,08,TS176PG,989,20,1108,1109,235,893,6,0,323,10467
A81610,2020,08,TS232DG,922,24,1225,1238,232,980,9,0,284,12282
A81611,2020,08,TS80TL,1232,33,1223,1246,222,851,104,0,385,13209
A81612,2020,08,TS251AX,319,8,567,569,89,394,2,0,77,4683
A81618,2020,08,TS121BJ,1743,57,1966,2001,356,1282,111,0,629,21356
A81621,2020,08,TS39NB,463,5,338,341,127,354,30,0,135,5149
A81622,2020,08,TS268DF,907,18,724,725,160,587,11,0,226,8823
A81629,2020,08,TS182AP,768,19,757,764,197,636,8,0,179,9199
