PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2017,08,-,7387,334,12365,12545,3207,9335,524,944,1614,135336
01A998,2017,08,BB98AS,173,5,276,277,115,254,3,0,29,3418
06Q998,2017,08,CM25PF,134,9,189,193,16,131,13,0,28,2165
06T998,2017,08,CO45JR,83,3,143,146,20,105,4,0,15,1412
A81001,2017,08,TS181HU,524,30,518,521,134,348,39,0,135,7689
A81002,2017,08,TS182AW,2629,116,3324,3356,661,2534,54,0,707,38762
A81004,2017,08,TS58SB,1088,29,1316,1330,316,1088,145,0,298,16701
A81005,2017,08,TS147DJ,924,34,1595,1605,265,1289,34,0,277,15986
A81006,2017,08,TS182AT,2142,65,2508,2538,570,2188,20,0,679,28261
A81007,2017,08,TS247PW,1366,33,1239,1265,249,963,6,0,303,17101
A81009,2017,08,TS56HF,1238,23,1438,1456,342,1041,77,0,305,17367
A81011,2017,08,TS247PW,1693,26,1646,1653,270,1204,45,3,472,22550
A81012,2017,08,TS36AL,1183,16,1116,1126,266,841,27,0,240,13720
A81013,2017,08,TS122FF,1159,15,1161,1174,232,793,37,0,303,13110
A81014,2017,08,TS232LA,400,28,922,936,150,877,23,1,89,9311
A81015,2017,08,TS101TZ,469,7,605,624,90,467,15,1,124,6461
A81016,2017,08,TS13QY,988,18,1407,1414,345,1170,71,1,240,17175
A81017,2017,08,TS170EE,2153,62,2896,2922,590,2337,65,0,502,31262
A81018,2017,08,TS104NW,1537,21,2069,2099,488,1661,102,0,353,23131
A81019,2017,08,TS37RL,1670,40,1518,1547,368,1267,73,0,421,21011
A81020,2017,08,TS43BU,1073,31,1515,1534,277,1035,94,0,268,17201
A81021,2017,08,TS66TD,2053,69,2755,2821,642,2371,155,0,508,32273
A81022,2017,08,TS122TG,1653,17,1985,2012,393,1351,87,0,479,22229
A81023,2017,08,TS12NX,923,9,583,599,147,346,95,0,198,9958
A81025,2017,08,TS181HU,474,23,606,608,120,533,39,0,83,7368
A81026,2017,08,TS56HA,2109,55,1751,1797,458,1365,116,0,664,28026
A81027,2017,08,TS159DD,1414,64,1900,1934,268,1442,37,0,333,20677
A81029,2017,08,TS12NX,960,29,965,996,261,729,35,0,121,12330
A81030,2017,08,TS13RY,1573,38,1693,1715,357,1181,108,1,455,23406
A81031,2017,08,TS247PW,1493,46,1401,1419,278,1121,14,0,307,20895
A81032,2017,08,TS147DJ,1355,30,1695,1702,304,1229,85,0,331,20483
A81033,2017,08,TS36AL,695,18,700,718,178,575,112,0,237,8811
A81034,2017,08,TS170EE,2637,59,3009,3042,647,2256,46,0,713,38189
A81035,2017,08,TS13RX,1244,18,1307,1335,300,945,68,0,315,17658
A81036,2017,08,TS202UZ,2317,80,2904,2926,519,2165,90,15,615,33150
A81037,2017,08,TS12NX,894,23,1067,1098,301,936,74,0,194,14636
A81038,2017,08,TS36AL,442,14,649,661,245,527,69,0,119,8223
A81039,2017,08,TS169EA,936,34,1636,1646,296,1219,28,0,297,15931
A81040,2017,08,TS232DG,1317,37,1243,1260,247,990,48,0,308,16137
A81041,2017,08,TS249DN,1085,42,1327,1334,261,906,34,0,361,14502
A81042,2017,08,TS69QG,1928,29,2403,2422,521,2065,175,2,312,25611
A81043,2017,08,TS60HA,1583,19,1505,1562,315,1162,80,0,460,19471
A81044,2017,08,TS251QU,2726,95,3723,3765,707,3081,41,5,634,42001
A81045,2017,08,TS101SR,1055,29,1037,1043,193,825,61,1,193,13596
A81046,2017,08,TS181YE,1597,58,1694,1729,349,1149,83,0,274,22401
A81048,2017,08,TS117BL,1300,67,2308,2342,380,1847,23,0,282,21407
A81049,2017,08,TS36AL,927,22,1039,1050,343,1073,96,0,160,14472
A81051,2017,08,TS55NN,881,29,925,940,165,807,33,0,236,12906
A81052,2017,08,TS104NW,1324,51,1857,1877,354,1289,78,0,319,20105
A81053,2017,08,TS134HW,1273,33,1695,1758,293,1279,156,0,157,19067
A81054,2017,08,TS101UA,1471,44,1804,1817,358,1320,66,0,300,19830
A81056,2017,08,TS232JW,254,11,584,588,127,328,4,0,56,4836
A81057,2017,08,TS232LS,1362,25,1266,1285,299,984,9,10,298,16646
A81058,2017,08,TS80TL,1204,28,1150,1170,223,714,58,0,230,15273
A81060,2017,08,TS268DB,483,18,424,428,106,360,54,0,104,8290
A81063,2017,08,TS240NZ,613,24,1203,1215,185,816,0,0,151,9986
A81064,2017,08,TS12NX,904,17,575,579,138,477,53,0,213,9530
A81065,2017,08,TS66TD,769,28,790,798,228,669,36,0,153,9333
A81066,2017,08,TS211JS,507,14,991,1003,150,723,19,0,66,8496
A81067,2017,08,TS182BP,1870,35,1800,1810,442,1564,103,1,384,24077
A81070,2017,08,TS253DQ,406,3,450,451,94,301,41,0,72,5529
A81602,2017,08,TS232DG,334,8,715,734,98,531,9,0,91,6265
A81608,2017,08,TS176NP,401,8,680,682,131,491,3,0,91,6742
A81610,2017,08,TS232DG,989,23,1291,1310,256,1003,24,14,213,14244
A81611,2017,08,TS80TL,860,27,906,930,163,645,93,0,217,11121
A81612,2017,08,TS251AX,238,17,524,529,94,383,5,0,37,4885
A81618,2017,08,TS121BJ,1444,40,1687,1723,287,1205,122,0,437,20665
A81621,2017,08,TS39NB,504,0,368,380,134,361,36,0,121,6328
A81622,2017,08,TS268DF,718,30,783,786,130,655,8,0,169,9092
A81629,2017,08,TS182AP,701,23,749,753,203,608,19,0,143,9121
A81631,2017,08,TS249LJ,637,15,862,868,150,663,9,0,135,9764
A81632,2017,08,TS181HU,586,0,18,18,5,28,8,1,124,1920
A81634,2017,08,TS182EP,229,2,77,80,29,48,2,0,58,1719
A82003,2017,08,LA127BT,968,44,1235,1249,257,947,126,1,264,15417
A82004,2017,08,CA93QX,261,13,571,576,92,378,17,0,51,4818
A82005,2017,08,LA229BP,486,20,990,1007,138,667,63,6,90,9183
A82006,2017,08,CA166QR,417,20,991,1002,158,645,17,0,61,8538
A82007,2017,08,LA141LF,1513,48,1455,1501,272,978,216,30,275,20218
A82008,2017,08,LA145ES,1632,51,1985,2051,414,1288,104,4,352,22505
A82009,2017,08,LA139SH,1341,52,2161,2213,419,1467,29,66,209,20306
A82010,2017,08,LA145JY,855,61,1203,1240,280,825,71,5,210,13311
A82012,2017,08,CA81NL,1899,74,3073,3086,485,2271,110,21,337,30814
A82013,2017,08,CA174AY,716,23,1198,1202,253,891,37,5,73,12925
A82014,2017,08,CA78DS,443,34,1084,1090,127,751,54,0,59,9663
A82015,2017,08,CA11EB,830,18,744,752,189,517,24,0,167,9732
A82016,2017,08,CA11DG,4296,120,4363,4422,652,3056,286,94,879,56755
A82018,2017,08,CA11BP,1190,32,1174,1185,107,909,80,23,330,16068
A82019,2017,08,CA12HE,1006,29,1126,1152,233,811,28,15,189,13175
A82020,2017,08,CA27AJ,1513,38,1562,1611,253,1051,115,0,358,21249
A82021,2017,08,CA139HT,1759,80,3699,3757,477,2189,95,10,314,31819
A82022,2017,08,CA57PZ,657,25,1301,1306,159,889,15,0,128,10603
A82023,2017,08,CA145UR,595,12,1089,1091,161,924,21,5,121,10374
A82024,2017,08,CA201PN,568,29,1342,1358,209,831,43,13,119,11143
A82025,2017,08,LA94JE,1148,36,1341,1363,266,1030,99,4,197,15542
A82026,2017,08,LA97HR,1717,61,3017,3046,507,2104,62,3,200,29095
A82027,2017,08,LA96SA,1205,33,2095,2112,398,1716,36,0,194,20707
A82028,2017,08,CA124DB,675,52,1747,1765,194,1148,20,0,129,14332
A82029,2017,08,CA75JH,353,20,999,1006,137,620,7,0,41,7585
A82030,2017,08,LA62HQ,647,49,1131,1150,177,885,55,0,71,12234
A82031,2017,08,CA103LW,375,9,841,842,125,607,16,0,79,7366
A82032,2017,08,CA158EL,2218,59,2872,2890,544,1763,58,71,367,29584
A82033,2017,08,LA184BY,979,37,1073,1103,229,784,211,0,297,15661
A82034,2017,08,LA77PW,632,41,1323,1343,184,827,63,0,76,12272
A82035,2017,08,CA118HW,1362,59,1867,1900,272,1236,51,1,201,21834
A82036,2017,08,CA118HW,984,44,1455,1462,213,1124,4,1,170,15653
A82037,2017,08,CA74AH,615,20,947,957,160,681,7,0,70,10566
A82038,2017,08,CA101RW,366,12,803,816,92,560,19,4,95,7427
A82039,2017,08,LA158AB,775,42,1419,1452,204,811,29,5,211,13805
A82041,2017,08,CA287RG,1649,35,2229,2247,375,1531,79,13,277,22449
A82044,2017,08,CA222BD,3289,72,4853,4936,746,2768,155,95,482,49449
A82045,2017,08,CA79QD,1060,14,1453,1467,221,1111,75,0,185,16162
A82046,2017,08,LA232EG,415,33,877,889,162,657,34,0,43,7841
A82047,2017,08,CA142DL,1429,40,2074,2095,306,1355,94,45,201,20454
A82048,2017,08,CA143FT,944,17,1000,1008,186,660,8,25,157,10812
A82049,2017,08,CA142ED,740,13,830,843,130,640,23,25,120,10374
A82050,2017,08,CA142AJ,1229,17,1440,1461,242,979,72,32,259,16365
A82053,2017,08,LA117DJ,546,31,1104,1119,197,770,35,0,56,10974
A82055,2017,08,CA73HH,958,13,1603,1638,315,1134,28,0,190,15404
A82058,2017,08,CA287BA,629,13,974,987,118,530,18,6,76,8920
A82060,2017,08,CA287PA,657,10,1086,1100,217,801,36,12,79,11309
A82062,2017,08,LA142LR,550,14,707,724,150,503,17,0,142,7597
A82064,2017,08,CA222DB,720,10,1042,1052,202,831,92,13,163,10741
A82065,2017,08,LA117DJ,376,18,823,836,121,595,24,0,70,8148
A82068,2017,08,LA127BT,457,22,561,564,109,301,28,2,59,6160
A82070,2017,08,LA231BA,501,7,1144,1166,162,718,37,7,59,10539
A82071,2017,08,LA143HY,620,38,1198,1218,158,702,27,14,108,10353
A82072,2017,08,LA139RX,1205,37,1445,1506,262,1149,41,2,204,15551
A82074,2017,08,LA50DP,190,16,541,542,31,388,15,0,25,5253
A82075,2017,08,CA287BU,752,21,1092,1108,171,650,24,3,152,10238
A82077,2017,08,LA139QY,866,13,565,588,149,453,44,4,154,10443
A82608,2017,08,LA105DL,373,19,827,837,171,543,28,0,21,7298
A82617,2017,08,CA101DQ,177,7,422,423,65,325,13,0,30,4174
A82620,2017,08,CA110PD,59,2,179,181,23,125,1,9,12,1256
A82621,2017,08,LA167JP,146,6,323,325,56,227,6,0,11,3509
A82623,2017,08,CA142RW,724,18,953,967,162,730,33,0,82,10561
A82629,2017,08,LA145SL,598,12,686,698,90,494,19,9,168,7274
A82631,2017,08,CA40HP,401,40,788,791,96,469,12,0,62,7009
A82646,2017,08,CA65XA,709,14,758,760,198,692,15,0,166,9052
A82647,2017,08,LA116PH,282,15,631,634,82,424,20,3,25,5784
A82650,2017,08,LA128QF,269,6,531,535,66,311,19,0,31,5038
A82651,2017,08,LA177TE,233,4,462,463,80,402,17,12,21,5727
A82654,2017,08,CA11LB,838,34,1332,1353,189,792,117,0,167,13441
A83001,2017,08,DL166QA,1639,118,2047,2059,382,1434,77,0,481,24275
A83003,2017,08,DL150EQ,1540,52,1789,1805,442,1466,52,0,453,23075
A83004,2017,08,SR78LF,809,13,982,1002,295,905,32,0,195,10971
A83005,2017,08,DL13RT,1639,71,1939,1951,432,1650,86,3,416,24090
A83006,2017,08,DL36HZ,846,52,913,914,247,872,88,4,244,12717
A83007,2017,08,TS274LQ,2132,91,2243,2258,472,2084,75,3,387,30520
A83008,2017,08,DL42HP,1205,67,1316,1319,267,1123,67,0,277,16737
A83009,2017,08,DH33SL,1234,86,1636,1649,257,1126,33,1,240,17674
A83010,2017,08,DL39JP,1973,116,2457,2476,461,1719,197,2,538,30369
A83011,2017,08,DH11QW,1297,105,1346,1364,212,1041,82,4,427,17698
A83012,2017,08,SR85TW,2934,83,4089,4103,721,3216,109,2,539,43917
A83013,2017,08,DL14YL,1745,101,2014,2035,427,1448,111,0,497,24264
A83014,2017,08,DH12QW,1014,65,1370,1381,181,812,44,0,198,14932
A83015,2017,08,DL146AB,1386,89,2092,2102,481,1619,100,0,320,23738
A83016,2017,08,DH98AD,2371,84,2874,2902,676,2171,119,0,608,33799
A83017,2017,08,DH63HW,1065,68,1497,1518,305,1356,34,1,194,18624
A83018,2017,08,DH85YA,4011,170,4130,4164,982,3273,242,0,889,54170
A83019,2017,08,DH62JL,823,14,934,979,191,803,18,0,221,12239
A83020,2017,08,DL159HU,1797,59,2633,2648,426,1951,83,0,439,28313
A83021,2017,08,DL146RP,2797,70,3161,3178,789,2464,228,0,783,37347
A83022,2017,08,DH78NH,3759,210,4331,4345,1014,3349,174,0,875,54715
A83023,2017,08,DH90AB,2060,72,2501,2523,694,2439,57,0,448,31585
A83024,2017,08,DH46RQ,947,47,1100,1102,213,847,16,0,252,13389
A83025,2017,08,DL147EJ,2401,73,3078,3121,710,2867,141,0,702,37957
A83026,2017,08,DH76JW,1701,55,1950,1978,373,1297,29,1,477,23294
A83027,2017,08,DH64DH,873,22,803,805,192,779,58,4,218,13299
A83028,2017,08,DH33QD,1658,133,2194,2219,421,1785,81,0,513,24354
A83029,2017,08,DH34LE,709,16,740,742,123,540,23,4,88,9492
A83030,2017,08,DH77DG,1864,68,2332,2338,445,1878,73,0,510,25896
A83031,2017,08,DL38SQ,1284,110,1975,1991,404,1635,132,1,279,23073
A83032,2017,08,DL135AF,309,39,619,620,150,617,21,0,40,6372
A83033,2017,08,DH21HS,1418,95,1827,1841,363,1642,27,0,239,21292
A83034,2017,08,DL37JR,1114,76,1231,1244,233,1025,134,6,315,16599
A83035,2017,08,DL132XD,901,29,1991,2003,306,1345,21,0,208,16941
A83036,2017,08,DH15BH,1037,122,1456,1463,246,1168,70,1,223,19543
A83037,2017,08,DL55LH,2469,106,3767,3788,744,2699,166,0,716,39967
A83038,2017,08,NE166HU,901,54,956,959,177,761,40,0,141,11798
A83040,2017,08,DL15JN,2187,91,1855,1869,525,1604,137,0,600,26993
A83041,2017,08,SR79AB,2031,48,2456,2485,561,1772,43,0,428,28022
A83042,2017,08,TS285PZ,743,28,1111,1135,231,905,54,0,157,12364
A83043,2017,08,DL120QE,334,29,916,922,140,643,12,0,59,7101
A83044,2017,08,SR84QP,1287,30,1344,1356,279,1114,52,0,251,16939
A83045,2017,08,DL178JJ,2706,73,2976,3016,539,2144,148,0,583,38099
A83046,2017,08,DL128HT,1405,118,2595,2608,460,1948,51,1,319,24435
A83047,2017,08,DL30PD,2265,66,2254,2263,588,2149,152,0,862,29875
A83048,2017,08,DL22DS,640,20,1120,1123,143,821,57,0,184,11587
