PRACTICE_CODE,YEAR,MONTH,POSTCODE,depression,alzheimers,blood pressure,hypertension,diabetes,cardiovascular disease,insomnia,addiction,social anxiety,ITEMS
-,2018,11,-,446,16,239,244,54,144,70,561,112,15974
01E998,2018,11,PR266TR,146,17,179,180,112,192,9,0,9,2777
04Q998,2018,11,LN42HN,84,6,189,189,27,151,3,0,20,1566
06N998,2018,11,AL86JL,78,0,256,257,91,202,2,0,8,2206
A81001,2018,11,TS181HU,624,29,581,587,133,383,16,0,143,8074
A81002,2018,11,TS182AW,2829,102,3418,3442,667,2577,39,0,794,36273
A81004,2018,11,TS58SB,1199,48,1442,1457,403,1249,110,0,364,19010
A81005,2018,11,TS147DJ,948,34,1626,1640,257,1345,37,0,320,16864
A81006,2018,11,TS182AT,2360,81,2545,2568,548,2243,15,0,747,29217
A81007,2018,11,TS247PW,1613,33,1364,1403,292,1041,12,0,425,19249
A81009,2018,11,TS56HF,1055,30,1349,1359,329,1020,61,0,282,14687
A81011,2018,11,TS247PW,1855,30,1896,1900,319,1388,41,5,577,24940
A81012,2018,11,TS36AL,1383,16,1153,1162,311,893,27,0,327,14431
A81013,2018,11,TS122FF,1291,16,1338,1355,303,922,29,0,352,14753
A81014,2018,11,TS232LA,409,29,853,862,147,854,14,2,97,8702
A81016,2018,11,TS13QY,1139,18,1492,1499,376,1282,58,1,333,19339
A81017,2018,11,TS170EE,2324,64,2990,3016,604,2475,54,0,578,32548
A81018,2018,11,TS104NW,1621,24,2030,2052,547,1618,65,0,440,23026
A81019,2018,11,TS37RL,1650,23,1347,1367,317,1193,61,0,430,19125
A81020,2018,11,TS43BU,1161,36,1489,1504,329,1063,70,0,334,17799
A81021,2018,11,TS66TD,2168,66,2730,2803,708,2410,156,0,566,31315
A81022,2018,11,TS122TG,1842,25,2063,2083,394,1400,78,0,564,21934
A81023,2018,11,TS12NX,1011,7,621,632,177,411,65,0,212,10169
A81025,2018,11,TS181HU,502,22,684,686,165,654,22,0,129,8304
A81026,2018,11,TS56HA,2926,55,2380,2426,618,1937,163,0,1063,35120
A81027,2018,11,TS159DD,1602,101,1948,1979,275,1523,24,0,392,22461
A81029,2018,11,TS12NX,1148,26,1052,1072,262,858,31,0,172,13320
A81030,2018,11,TS13RY,1440,56,1735,1752,370,1211,101,0,407,23992
A81031,2018,11,TS247PW,1774,34,1649,1669,338,1394,21,0,467,23254
A81032,2018,11,TS147DJ,1657,46,1859,1870,373,1405,115,0,454,23405
A81034,2018,11,TS170EE,2819,72,2981,3002,630,2272,41,0,861,37953
A81035,2018,11,TS13RX,1228,29,1321,1352,298,987,75,0,321,18220
A81036,2018,11,TS202UZ,2681,80,3081,3106,541,2326,89,4,756,35800
A81037,2018,11,TS12NX,1013,16,1203,1215,349,1009,90,0,224,14294
A81038,2018,11,TS36AL,486,20,675,683,290,535,52,0,183,8203
A81039,2018,11,TS169EA,1155,45,1638,1653,299,1180,22,0,371,16988
A81040,2018,11,TS232DG,1363,33,1169,1189,240,982,65,0,355,16623
A81041,2018,11,TS249DN,1280,33,1495,1501,302,1095,29,0,432,16758
A81042,2018,11,TS69QG,2595,47,2882,2909,659,2445,172,1,522,31557
A81043,2018,11,TS60HA,1730,24,1476,1514,292,1105,93,0,537,19142
A81044,2018,11,TS251QU,3030,91,3782,3807,833,3253,31,0,892,41440
A81045,2018,11,TS101SR,1656,32,1632,1639,339,1318,88,0,333,20436
A81046,2018,11,TS181YE,1939,58,1932,1964,378,1453,109,0,385,25099
A81048,2018,11,TS117BL,1198,77,2259,2283,380,1846,18,0,292,21187
A81049,2018,11,TS36AL,1161,25,1094,1105,369,1180,91,0,298,15257
A81051,2018,11,TS55NN,897,22,1038,1047,194,921,25,0,264,13304
A81052,2018,11,TS104NW,1417,41,1907,1932,392,1358,93,0,370,21756
A81053,2018,11,TS134HW,1353,32,1692,1749,296,1254,158,0,217,19258
A81054,2018,11,TS101UA,1542,40,1763,1775,356,1391,70,0,385,19557
A81056,2018,11,TS232JW,283,14,619,619,110,330,13,0,67,4659
A81057,2018,11,TS232LS,1501,50,1258,1272,286,1069,18,9,374,17117
A81058,2018,11,TS80TL,1345,47,1196,1224,244,817,84,0,294,17172
A81060,2018,11,TS268DB,563,18,569,572,148,437,81,0,155,10216
A81063,2018,11,TS240NZ,639,20,1285,1295,202,854,0,0,192,10144
A81064,2018,11,TS12NX,1037,14,636,644,163,508,44,0,252,10962
A81065,2018,11,TS66TD,634,11,610,615,184,482,20,0,164,7600
A81066,2018,11,TS211JS,629,13,1059,1074,147,762,13,0,86,9249
A81067,2018,11,TS182BP,1685,37,1311,1319,361,1201,71,0,460,19366
A81070,2018,11,TS253DQ,955,41,943,949,218,737,9,0,259,11148
